,Category,Attribute,Outer Richmond_2000,Outer Richmond_2010,Outer Richmond_2011,Outer Richmond_2012,Outer Richmond_2013,Outer Richmond_2014,Outer Richmond_2015,Outer Richmond_2016,Outer Richmond_2017,Outer Richmond_2018,Outer Richmond_2019,Outer Richmond_2020,Outer Richmond_2021,Outer Richmond_2022
0,Housing Type,Other Type,0.0005233136218535768,0.001605861394088423,0.0,0.0,0.0,0.0002987452698665605,0.0005472364558977165,0.0006952376222873318,0.0007875953728771843,0.0003446747747304151,0.0,0.0,0.0,0.0
1,Language Spoken at Home,Other Languages,0.006180440995376286,0.004297701071014394,0.004789530491095521,0.006935843448105028,0.004950841876649308,0.006451612903225806,0.007656932091416299,0.006016340098789709,0.005342913730367095,0.007644309364278971,0.007346020522944836,0.01648123355339089,0.01401399059495122,0.01496807755970679
2,Employment,Production Transport Materials,0.07269860043366844,0.02865429234338747,0.02502716126028248,0.02732410836094329,0.02596513827945735,0.02628723019413964,0.0248199488887168,0.0269297736506094,0.03446566777231309,0.03533891850723534,0.03416289592760181,0.02899405956174515,0.03293996106011841,0.03029686864579097
3,Employment,Natural Resources,0.03311649911295092,0.03255993812838361,0.03348595374825392,0.03465211459754434,0.0329696872106598,0.03115076972547128,0.03477116084565941,0.03737666860127684,0.03465629646574402,0.02928408225437928,0.03114630467571644,0.02549274164994689,0.02431755870783169,0.02179747864985767
4,Employment,"Unemployment Rate by Race, White Alone, Not Hispanic or Latino",0.03481410303791854,0.04678253285990158,0.04860768851651059,0.05158753797581462,0.04987710568910737,0.03355577940065475,0.02519201228878648,0.02672551183032978,0.02983351561550614,0.0284825567211515,0.02901585402333234,0.03123168873784132,0.02976732883785918,0.02950694841043213
5,Employment,"Unemployment Rate by Race, White Alone",0.03470209908827479,0.04755317309355006,0.04925077749505231,0.05107380355390821,0.05033191859832408,0.03220919140340048,0.02509663324183519,0.02714753358166836,0.03050158156348848,0.02898142937535172,0.02917815774958632,0.03284533520609367,0.03053780467115309,0.0295169946332737
6,Journey to Work,Journey to Work by Bike,,0.01732358550540369,0.02098932611119962,0.01957559468891652,0.02429233570600894,0.02936681673619429,0.03440868769640797,0.02976049324164098,0.0296737059075176,0.03296873787914049,0.03175698998964446,0.02257910637621243,0.02385453960336297,0.02543003638769434
7,Employment,"Unemployment Rate by Race, Asian Alone",0.03601452044325563,0.04692051602163962,0.05562372188139059,0.05274027005559968,0.0435473797763016,0.04223260929337366,0.03322638533906139,0.02534922603958794,0.02435159262585178,0.02535030484543802,0.01900908889381512,0.02584388185654008,0.04352179034157833,0.04165206215679402
8,Journey to Work,Journey to Work by Other Journey Type,,0.02145581691036236,0.02417556157400032,0.01985639215371655,0.02031948352921702,0.01276279377142621,0.01280878316559927,0.01624377519563671,0.0182786917123634,0.02067333798774339,0.02562037356652476,0.0303307362060741,0.02948630274749588,0.03014389679126695
9,Employment,"Unemployment Rate by Race, Two or More Races",0.02788339670468948,0.1571792693288021,0.1251158480074143,0.0748936170212766,0.06818181818181818,0.0565149136577708,0.07871321013004791,0.07076350093109869,0.09045848822800495,0.06170212765957447,0.03227513227513228,0.02291047942299533,0.04208944006012777,0.02931034482758621
