,Category,Attribute,Glen Park_2000,Glen Park_2010,Glen Park_2011,Glen Park_2012,Glen Park_2013,Glen Park_2014,Glen Park_2015,Glen Park_2016,Glen Park_2017,Glen Park_2018,Glen Park_2019,Glen Park_2020,Glen Park_2021,Glen Park_2022
0,Housing Type,Other Type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Language Spoken at Home,Other Languages,0.0103815208928108,0.00612218314445747,0.00800735101076398,0.002451648052301825,0.002143048486472007,0.01896706394976291,0.0201859229747676,0.02005469462169553,0.0193473494131304,0.03764320785597381,0.0250503524672709,0.01681919366806827,0.02834799608993157,0.02964596349381355
2,Employment,Production Transport Materials,0.05117622781675608,0.0279648907940396,0.02437026418185542,0.02513661202185792,0.02011428571428571,0.01672665678594114,0.009529997834091402,0.005313496280552604,0.005654450261780105,0.004632426988922457,0.006611570247933884,0.01409849086576648,0.01517874975034951,0.02054380664652568
3,Employment,Natural Resources,0.02930251754023937,0.03755868544600939,0.0415728036043416,0.04699453551912568,0.03794285714285715,0.01333897946220623,0.01061295213341997,0.01466524973432519,0.01172774869109948,0.01591137965760322,0.0134297520661157,0.01965845909451946,0.01877371679648492,0.00906344410876133
4,Employment,"Unemployment Rate by Race, White Alone, Not Hispanic or Latino",0.03316093702464253,0.0555324459234609,0.04727733220768256,0.04612888270746407,0.04616444648598989,0.03936013470848242,0.03414071510957324,0.03632130384167637,0.0323846908734053,0.0302013422818792,0.02892865898504535,0.02308402585410896,0.02166317260656883,0.01505174035747883
5,Employment,"Unemployment Rate by Race, White Alone",0.03269447576099211,0.05381912335860921,0.04856254856254856,0.04765975635819619,0.04850826357587465,0.04095904095904096,0.03488372093023256,0.03678646934460888,0.0354295837023915,0.03183885640025991,0.03111209179170344,0.02743837084673097,0.02724498692240628,0.01436910642119443
6,Journey to Work,Journey to Work by Bike,,0.00946643717728055,0.01275951557093426,0.01842282633116154,0.03011764705882353,0.05010799136069115,0.06008394079964657,0.06198704103671706,0.05376799322607959,0.04685901370984244,0.0298382013027947,0.02768236007274197,0.02350776778413737,0.02547638773819387
7,Employment,"Unemployment Rate by Race, Asian Alone",0.01849405548216645,0.01368613138686131,0.03040262941659819,0.01957446808510638,0.01428571428571429,0.02893890675241157,0.02077151335311573,0.0,0.0,0.01706749418153607,0.0178173719376392,0.02586206896551724,0.03794037940379404,0.03412969283276451
8,Journey to Work,Journey to Work by Other Journey Type,,0.009251290877796902,0.0129757785467128,0.03325095484160863,0.03694117647058823,0.04233261339092872,0.02960017671747294,0.0347732181425486,0.01481795088907705,0.01432371598117455,0.02290397142256777,0.02727823802788442,0.02248569092395748,0.02734051367025684
9,Employment,"Unemployment Rate by Race, Two or More Races",0.05,0.1216730038022814,0.1098901098901099,0.08333333333333333,0.09059233449477352,0.1023890784982935,0.0,0.0,0.0,0.03883495145631068,0.03883495145631068,0.02525252525252525,0.02600472813238771,0.02076124567474048
