,Category,Attribute,South of Market_2000,South of Market_2010,South of Market_2011,South of Market_2012,South of Market_2013,South of Market_2014,South of Market_2015,South of Market_2016,South of Market_2017,South of Market_2018,South of Market_2019,South of Market_2020,South of Market_2021,South of Market_2022
10,Age,0-4 Years,0.01754012214174123,0.02129767211490837,0.02861992274376682,0.0311975458702321,0.03101646344889588,0.0300140252454418,0.02337920742828718,0.0197622275524038,0.01736389111289031,0.01731661384410454,0.02352647767894256,0.0267388190354926,0.03067435527791126,0.03441947718282289
65,Age,18-34 Years,0.3052833404345974,0.3492446755819713,0.3288072105817628,0.3130173062452972,0.2848232848232848,0.2741654978962132,0.2806610291272868,0.3027948691208677,0.3217073658927141,0.3403150980662349,0.3649098013134924,0.3877526659239217,0.3684927118372577,0.3533297989478406
81,Age,35-59 Years,0.40001420252805,0.3777860326894502,0.3712396113777361,0.3817213636626729,0.3846715738607631,0.3794670406732118,0.4099928149007904,0.4015017207216602,0.3878602882305845,0.3896467778237104,0.3665308836977305,0.3499920420181442,0.3628063431042768,0.3428082052118592
26,Age,5-17 Years,0.06242011077971879,0.05404903417533433,0.06057591010183776,0.04775134571974301,0.05107602404899702,0.05178120617110799,0.04609517492953076,0.05297736990301387,0.05539431545236189,0.05392494602912131,0.05956438606700474,0.06195288874741366,0.06439211917347429,0.05305656376167367
56,Age,60 and older,0.2147422241158926,0.1976225854383358,0.2107573451948964,0.2263124385020548,0.2484126538180592,0.2645722300140252,0.2398717736141049,0.2229638127020544,0.2176741393114492,0.1987965642368288,0.1854684512428298,0.1735635842750279,0.1736344706070799,0.2163859548958036
41,Educational Attainment,College Degree or higher,0.2717168262653899,0.2778110495583171,0.2573909299655568,0.2515294771968855,0.2574039487726787,0.2731655769103758,0.2461607371384694,0.2461174472215482,0.2367342225301692,0.2032987900819272,0.1861257967290874,0.1747265400115141,0.1626921038685745,0.1796284557998927
53,Educational Attainment,"College Degree or higher by Race, American Indian and Alaska Native Alone",0.1575757575757576,0.125,0.07042253521126761,0.09009009009009009,0.0,0.0,0.0,0.0,0.0,0.06493506493506493,0.03314917127071823,0.05607476635514019,0.1630434782608696,0.1145833333333333
97,Educational Attainment,"College Degree or higher by Race, Asian Alone",0.22340724108897,0.35881986287139,0.3595314566408464,0.3574806128239077,0.3317332418995371,0.3799421407907425,0.4012664555907349,0.3866687979539642,0.407061266874351,0.4256547451422135,0.4259965793974477,0.4997643176997407,0.542602415077305,0.5264166766502936
73,Educational Attainment,"College Degree or higher by Race, Black or African American Alone",0.1479565442317641,0.1191395477109763,0.1028540656973613,0.07226107226107226,0.06836616454229433,0.07550761421319797,0.1372130272290443,0.1794462193823216,0.2073434125269978,0.2207001522070015,0.2357682619647355,0.233760075865339,0.2124560522350578,0.210919540229885
88,Educational Attainment,"College Degree or higher by Race, Hispanic or Latino",0.1269296740994854,0.1572052401746725,0.1376811594202899,0.1572847682119205,0.2286821705426356,0.2476923076923077,0.222921034241789,0.373134328358209,0.4073732718894009,0.3364312267657992,0.4144586195616617,0.4095764272559853,0.4419807834441981,0.4712482468443198
50,Educational Attainment,"College Degree or higher by Race, Native Hawaiian and Other Pacific Islander Alone",0.7142857142857143,0.2148760330578512,0.8405797101449275,0.8055555555555556,0.7796610169491526,0.2906976744186047,0.2784810126582278,0.0,0.0,0.0,0.1733333333333333,0.5675675675675675,0.47,0.4938271604938271
71,Educational Attainment,"College Degree or higher by Race, Some Other Race Alone",0.1127214170692432,0.1217257318952234,0.05474452554744526,0.07536231884057971,0.138728323699422,0.08541973490427099,0.09845288326300984,0.2267115600448934,0.3553299492385787,0.2377756471716203,0.3899147727272727,0.3917089678510998,0.4413265306122449,0.5577557755775577
106,Educational Attainment,"College Degree or higher by Race, Two or More Races",0.2917293233082707,0.3333333333333333,0.3690476190476191,0.2906137184115524,0.3623417721518987,0.4296028880866426,0.4396694214876033,0.5,0.5514223194748359,0.5753424657534246,0.538647342995169,0.5702614379084967,0.4313408723747981,0.448993288590604
111,Educational Attainment,"College Degree or higher by Race, White Alone",0.37830968015251,0.551356407857811,0.5538076510547014,0.5710446758481693,0.5620043867049097,0.5648225996300655,0.5709518512633084,0.5889256695756846,0.6332133213321333,0.648465129438393,0.6778107654575964,0.6558688524590164,0.7007383813522513,0.64991601343785
114,Educational Attainment,"College Degree or higher by Race, White Alone, Not Hispanic or Latino",0.4029609067777007,0.5837232960325535,0.5831067961165048,0.6008747949699289,0.5889010587805769,0.5885913426265591,0.6075259363460525,0.6160424149136309,0.6600479287915098,0.682230869001297,0.7139778325123153,0.6913335367714373,0.727652733118971,0.6695072823055469
44,Educational Attainment,High School or Less,0.4900820793433652,0.2417278035634077,0.2371555683122847,0.2328281423804227,0.252401280683031,0.2174889373225018,0.2249168159713335,0.2200315457413249,0.2027830706160864,0.2153437143942271,0.2202183902366718,0.2161293417770102,0.2024859083682613,0.1903066946218733
99,Educational Attainment,"High School or Less by Race, American Indian and Alaska Native Alone",0.496969696969697,0.3035714285714285,0.6338028169014085,0.6306306306306306,0.6178861788617886,0.987012987012987,0.9848484848484849,0.88,0.03260869565217391,0.05194805194805195,0.1160220994475138,0.1682242990654206,0.2282608695652174,0.5208333333333334
