,Category,Attribute,Nob Hill_2000,Nob Hill_2010,Nob Hill_2011,Nob Hill_2012,Nob Hill_2013,Nob Hill_2014,Nob Hill_2015,Nob Hill_2016,Nob Hill_2017,Nob Hill_2018,Nob Hill_2019,Nob Hill_2020,Nob Hill_2021,Nob Hill_2022
0,Housing Type,Other Type,0.000407735321528425,0.0006287510717347814,0.0006905679921735627,0.0,0.002259167004576262,0.002271535907740695,0.002034055907479514,0.001857441374506617,0.001675138632162662,0.0,0.0,0.0,0.0,0.001055203820948573
1,Language Spoken at Home,Other Languages,0.005891238670694864,0.00799932280865112,0.009892049419201248,0.0121500264131009,0.00948072383949646,0.01583366653338665,0.01860519088693769,0.01969194774809905,0.01829478771142561,0.01158048630347799,0.01064694722985791,0.01395058841867352,0.01414359343161932,0.01402466691416079
2,Employment,Production Transport Materials,0.06765417170495767,0.009792095366494004,0.01037947904270792,0.01424650372500327,0.007939461605259893,0.009270628683693516,0.01035074229609038,0.01037344398340249,0.01274504200720123,0.01756832124930284,0.016092856341819,0.01483793254489706,0.01681841906860755,0.01316181287594545
3,Employment,Natural Resources,0.02678355501813785,0.02589938267224863,0.02393230199656221,0.02391844203372108,0.01290162510854733,0.007735756385068762,0.007866564145028686,0.006401896858328393,0.01057324112705035,0.0124372559955382,0.02248514074240215,0.01631625054752519,0.01861625007249319,0.01852182716931689
4,Employment,"Unemployment Rate by Race, White Alone, Not Hispanic or Latino",0.03250145095763204,0.05261782385225194,0.04913343429244489,0.04905401934765859,0.05139293139293139,0.04468906596566171,0.04154795821462488,0.02964192553948304,0.02655538694992413,0.02989301447451227,0.02977387945602317,0.03286948176583494,0.04244186046511628,0.04827207899067471
5,Employment,"Unemployment Rate by Race, White Alone",0.0318864620772279,0.04929856542759769,0.04662652462559827,0.04554929359993824,0.04661238514977217,0.04042709867452136,0.03755235323347767,0.02709185833215747,0.0243935677296266,0.02723326799215906,0.02861035422343324,0.03151655341911233,0.04065102773744938,0.04608139926000673
6,Journey to Work,Journey to Work by Bike,,0.02035346950601188,0.01786311634441694,0.01912477588153264,0.01666666666666667,0.01798270176093585,0.01851295305644047,0.01846933848382424,0.02098429076575271,0.02367569408959291,0.02509531667899619,0.02573795097003724,0.02826917425800764,0.02979290299140123
7,Employment,"Unemployment Rate by Race, Asian Alone",0.03671842215694503,0.06009043312708234,0.04613733905579399,0.04563106796116505,0.02199087612586267,0.02348336594911937,0.02549837737598517,0.02639941334637008,0.03436337992050263,0.03749844275569952,0.03125772176921176,0.0369499934717326,0.03434525340879856,0.02101010101010101
8,Journey to Work,Journey to Work by Other Journey Type,,0.01890482398956975,0.01558841239044624,0.01773026097350422,0.02255639097744361,0.03565428411424305,0.03708601310332392,0.04593191694833414,0.06254709871891484,0.06625787770396865,0.05741762931770329,0.06175996442270276,0.05706729356450191,0.0506842678939082
9,Employment,"Unemployment Rate by Race, Two or More Races",0.02702702702702703,0.03916768665850673,0.04495614035087719,0.07829534192269574,0.06566200215285253,0.0613107822410148,0.06009852216748768,0.1019830028328612,0.08171206225680934,0.07722616233254531,0.08478605388272584,0.06635891517599539,0.04487568223165555,0.03012987012987013
