,Category,Attribute,Bernal Heights_2000,Bernal Heights_2010,Bernal Heights_2011,Bernal Heights_2012,Bernal Heights_2013,Bernal Heights_2014,Bernal Heights_2015,Bernal Heights_2016,Bernal Heights_2017,Bernal Heights_2018,Bernal Heights_2019,Bernal Heights_2020,Bernal Heights_2021,Bernal Heights_2022
10,Age,0-4 Years,0.05382334081436358,0.0672026881075243,0.06197194168271309,0.05399743977656232,0.05861354214647628,0.06052631578947369,0.0700357044767921,0.06767924095187083,0.07571615802284216,0.07073246190734009,0.06703222473874518,0.07296646143255957,0.07285291214215202,0.06952800096903138
65,Age,18-34 Years,0.2996152613016992,0.2697307892315693,0.2706802373560734,0.2791807284999418,0.27360663288807,0.2707430340557275,0.2524031859379292,0.2473410360394827,0.2438869125631904,0.2205120272256168,0.2149640402113879,0.2210409575892004,0.2176505429417571,0.2033754592804942
81,Age,35-59 Years,0.3783263866623918,0.4183767350694028,0.4180846465202185,0.4127002599014702,0.4027713803162905,0.3976006191950464,0.4084042845372151,0.4078353355268192,0.4072271110278974,0.4186712042694717,0.427186394882187,0.414394431909442,0.4018163869693978,0.4075988210118303
26,Age,5-17 Years,0.126883616543764,0.1062042481699268,0.1104648878060282,0.1189728073237907,0.1215645631813296,0.1160216718266254,0.1106054066779142,0.1095722702578621,0.1004680771391125,0.1083997215561915,0.1182103548297374,0.111897204482007,0.1059032576505429,0.116849032987443
56,Age,60 and older,0.1413513946777814,0.1384855394215769,0.1387982866349668,0.135148764498235,0.1434438814678336,0.1551083591331269,0.1585514183701495,0.1675721172239651,0.1727017412469575,0.1816845850413799,0.1726069853379426,0.1797009445867911,0.2017769002961501,0.2026486857512012
41,Educational Attainment,College Degree or higher,0.4017611150126952,0.2042635450786662,0.2058210975736749,0.1978615123631317,0.1795958447464985,0.1676413255360624,0.1605134788189987,0.171826932618835,0.1685846079145424,0.1417765613336651,0.149611531384175,0.155976389572061,0.1453094413491944,0.1527452511059068
53,Educational Attainment,"College Degree or higher by Race, American Indian and Alaska Native Alone",0.7333333333333333,0.3865030674846626,0.3630952380952381,0.3866666666666667,0.3253012048192771,0.3103448275862069,0.2359550561797753,0.0603448275862069,0.06818181818181818,0.2155172413793103,0.1437125748502994,0.1428571428571428,0.2307692307692308,0.3258426966292135
97,Educational Attainment,"College Degree or higher by Race, Asian Alone",0.3041122091169908,0.4893687707641196,0.4720023453532688,0.4361643835616438,0.4517766497461929,0.5137920581994544,0.4992592592592592,0.4941601779755284,0.5377512221618685,0.575209977093408,0.6008783260139499,0.6600594648166501,0.6971301198105322,0.7018937080024434
73,Educational Attainment,"College Degree or higher by Race, Black or African American Alone",0.2299421009098429,0.1793349168646081,0.232183908045977,0.2354340071343639,0.3501291989664083,0.2532956685499058,0.2604951560818084,0.2773645058448459,0.2616926503340757,0.305458768873403,0.4423592493297587,0.3721244925575101,0.4509151414309484,0.4580335731414868
88,Educational Attainment,"College Degree or higher by Race, Hispanic or Latino",0.1591536338546458,0.176481909160893,0.1705212922173275,0.1762979269858742,0.1910803537101115,0.1959233878053066,0.2155378486055777,0.1973413218498409,0.2080914028844353,0.2309172546504169,0.2426501917341287,0.2264182611614636,0.265973503270166,0.256491344873502
50,Educational Attainment,"College Degree or higher by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.2967032967032967,0.2325581395348837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
71,Educational Attainment,"College Degree or higher by Race, Some Other Race Alone",0.101177336276674,0.1401384083044983,0.1646191646191646,0.1726190476190476,0.1740412979351033,0.1559748427672956,0.1831831831831832,0.1581751581751582,0.1500854700854701,0.1568548387096774,0.120220733149389,0.09654561558901682,0.1901960784313725,0.2318427798348049
106,Educational Attainment,"College Degree or higher by Race, Two or More Races",0.3180592991913747,0.4332784184514003,0.4494219653179191,0.5708762886597938,0.6335403726708074,0.7478510028653295,0.7321428571428571,0.7826797385620915,0.6443381180223285,0.653125,0.578688524590164,0.4225352112676056,0.3461759631972398,0.4255007327796776
111,Educational Attainment,"College Degree or higher by Race, White Alone",0.5392338434545277,0.5840520620981653,0.5696033861106756,0.5667191188040913,0.6007720105124835,0.6127061186908848,0.6466716654169791,0.6539693241193325,0.6528703854285249,0.6768834620815682,0.7073506627646755,0.7063668332407922,0.7102552204176334,0.7399577167019028
114,Educational Attainment,"College Degree or higher by Race, White Alone, Not Hispanic or Latino",0.6258167920108495,0.7467134092900964,0.7378640776699029,0.7195905477512795,0.7411351410692721,0.7450044404973357,0.7535167563094746,0.7456953642384105,0.735337315186527,0.7513545463501133,0.7690750860149768,0.763038423208947,0.7680508381724553,0.8058581457274268
44,Educational Attainment,High School or Less,0.3743719950299822,0.1948665628523868,0.1863480162449234,0.2180126458643911,0.2161352007855703,0.2220170308812968,0.2202824133504493,0.2224868512454103,0.2168001942218985,0.2117442149788505,0.195103250868943,0.194638465322184,0.1816493499974903,0.1596148842050481
99,Educational Attainment,"High School or Less by Race, American Indian and Alaska Native Alone",0.2666666666666667,0.4601226993865031,0.4583333333333333,0.2933333333333333,0.4457831325301205,0.6896551724137931,0.4044943820224719,0.5344827586206896,0.4166666666666667,0.2413793103448276,0.2754491017964072,0.3928571428571428,0.3,0.3483146067415731
76,Educational Attainment,"High School or Less by Race, Asian Alone",0.4539368823716927,0.2787375415282392,0.3556141893872765,0.3219178082191781,0.3406091370558376,0.283116095786602,0.2699259259259259,0.2664071190211346,0.2783813145029875,0.2316110969712395,0.2505812451562904,0.2410802775024777,0.1847311228754528,0.1896762370189371
78,Educational Attainment,"High School or Less by Race, Black or African American Alone",0.478908188585608,0.5261282660332541,0.4701149425287356,0.4720570749108204,0.3268733850129199,0.4114877589453861,0.4176533907427341,0.410201912858661,0.4131403118040089,0.3681765389082462,0.2225201072386059,0.3301759133964817,0.3477537437603994,0.2793764988009592
86,Educational Attainment,"High School or Less by Race, Hispanic or Latino",0.6380864765409383,0.6085450346420324,0.6187591776798825,0.5782425243074665,0.5449826989619377,0.5195923387805307,0.502589641434263,0.5339824002995693,0.4995317475182618,0.4620483215736583,0.468044311887516,0.4677744209466264,0.4797920509810498,0.5277962716378163
94,Educational Attainment,"High School or Less by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.2527472527472527,0.3953488372093023,0.3157894736842105,0.1351351351351351,0.0,0.0,0.0,0.4242424242424243,0.4333333333333333,1.0,1.0,1.0,
95,Educational Attainment,"High School or Less by Race, Some Other Race Alone",0.6927888153053716,0.5994809688581315,0.5986895986895987,0.5565476190476191,0.5976401179941003,0.5920335429769392,0.5529815529815529,0.5864135864135864,0.5958974358974359,0.5556451612903226,0.6235711470240441,0.6055506347800413,0.6248366013071895,0.5824551409854742
46,Educational Attainment,"High School or Less by Race, Two or More Races",0.3324348607367476,0.3163097199341021,0.3005780346820809,0.2190721649484536,0.2267080745341615,0.08882521489971347,0.1098901098901099,0.0784313725490196,0.05103668261562998,0.0578125,0.06557377049180328,0.2253521126760563,0.3024726854514089,0.356619443087445
25,Educational Attainment,"High School or Less by Race, White Alone",0.25908957988108,0.2462756782185981,0.2573287349114281,0.2348544453186467,0.1868429697766097,0.1745208002008873,0.1508789469299342,0.1429293780549469,0.145877378435518,0.1373037627709943,0.1180926149079015,0.1234499352211734,0.1193503480278422,0.1156448202959831
21,Educational Attainment,"High School or Less by Race, White Alone, Not Hispanic or Latino",0.1679201084946369,0.09016213847502191,0.09201235657546337,0.0912555809648263,0.07069930837633111,0.07670959147424511,0.07395531650806786,0.07478349465104432,0.09174581415842553,0.09151807703674515,0.08196721311475409,0.1004318458642454,0.09597896351484606,0.07806826434277414
45,Educational Attainment,Some College/Associate Degree,0.2238668899573227,0.5148472319175214,0.5035926273039675,0.2180126458643911,0.2161352007855703,0.2220170308812968,0.2202824133504493,0.2224868512454103,0.2168001942218985,0.2117442149788505,0.195103250868943,0.194638465322184,0.1816493499974903,0.1596148842050481
64,Educational Attainment,"Some College/Associate Degree by Race, American Indian and Alaska Native Alone",0.0,0.1533742331288344,0.1785714285714286,0.32,0.2289156626506024,0.0,0.3595505617977528,0.4051724137931034,0.5151515151515151,0.5431034482758621,0.5808383233532934,0.4642857142857143,0.4692307692307692,0.3258426966292135
42,Educational Attainment,"Some College/Associate Degree by Race, Asian Alone",0.2419509085113165,0.2318936877076412,0.1723834652594547,0.2419178082191781,0.2076142131979695,0.2030918460139436,0.2308148148148148,0.239432703003337,0.1838674633351439,0.1931789259353525,0.1485404288297598,0.09886025768087216,0.118138757314015,0.1084300549786194
75,Educational Attainment,"Some College/Associate Degree by Race, Black or African American Alone",0.2911497105045492,0.2945368171021377,0.2977011494252874,0.2925089179548157,0.3229974160206718,0.3352165725047081,0.3218514531754575,0.3124335812964931,0.3251670378619154,0.3263646922183507,0.3351206434316354,0.2976995940460081,0.2013311148086522,0.2625899280575539
54,Educational Attainment,"Some College/Associate Degree by Race, Hispanic or Latino",0.2027598896044158,0.2149730561970747,0.21071953010279,0.2454595487066593,0.2639369473279508,0.2844842734141627,0.2818725099601594,0.2686762778505898,0.2923768495973029,0.3070344237759247,0.2893054963783553,0.30580731789191,0.2542344457487842,0.2157123834886818
74,Educational Attainment,"Some College/Associate Degree by Race, Native Hawaiian and Other Pacific Islander Alone",1.0,0.4505494505494506,0.3720930232558139,0.6842105263157895,0.8648648648648649,1.0,1.0,1.0,0.5757575757575758,0.5666666666666667,0.0,0.0,0.0,
52,Educational Attainment,"Some College/Associate Degree by Race, Some Other Race Alone",0.2060338484179544,0.2603806228373702,0.2366912366912367,0.2708333333333333,0.2283185840707965,0.2519916142557652,0.2638352638352638,0.2554112554112554,0.254017094017094,0.2875,0.2562081198265668,0.2979037496309418,0.1849673202614379,0.1857020791797209
49,Educational Attainment,"Some College/Associate Degree by Race, Two or More Races",0.3495058400718778,0.2504118616144975,0.25,0.2100515463917526,0.139751552795031,0.163323782234957,0.157967032967033,0.1388888888888889,0.3046251993620415,0.2890625,0.3557377049180328,0.352112676056338,0.3513513513513514,0.2178798241328774
39,Educational Attainment,"Some College/Associate Degree by Race, White Alone",0.2016765766643922,0.1696722596832366,0.1730678789778962,0.198426435877262,0.2123850197109067,0.212773081108228,0.2024493876530867,0.2031012978257205,0.2012522361359571,0.1858127751474375,0.174556722327423,0.1701832315380344,0.1703944315545244,0.1443974630021142
38,Educational Attainment,"Some College/Associate Degree by Race, White Alone, Not Hispanic or Latino",0.2062630994945136,0.1631244522348817,0.1701235657546337,0.1891538712838942,0.1881655505543967,0.1782859680284192,0.1725279271824576,0.1795211411105451,0.1729168706550475,0.1571273766131416,0.1489577008702692,0.1365297309268077,0.1359701983126986,0.1160735899297991
409,Employment,Employed Residents,13772.0,14920.0,14892.0,15313.0,14914.0,14834.0,14602.0,15074.0,15579.0,15422.0,15191.0,15143.0,14692.0,13917.0
92,Employment,Managerial Professional,0.4413302352599477,0.2981233243967829,0.3031157668546871,0.3125448964931757,0.3459836395333244,0.3541863287043279,0.3995343103684427,0.390672681438238,0.3991912189485846,0.4239398262222799,0.4412481074320321,0.4642409033877039,0.4644704601143479,0.4832938133218366
3,Employment,Natural Resources,0.08241359279697938,0.05,0.0558689229116304,0.05309214392999412,0.04867909346922355,0.04408790616152083,0.04547322284618546,0.05486267745787449,0.05744913023942487,0.05245752820645831,0.05865314989138305,0.06306544277884171,0.06255104818949088,0.05942372637781131
2,Employment,Production Transport Materials,0.08938425791460936,0.02841823056300268,0.02410690303518668,0.01795859727029321,0.01354432077242859,0.01017931778347041,0.0149979454869196,0.0161204723364734,0.02176006162141344,0.02113863312151472,0.01981436376802054,0.01670738955292875,0.02402668118704056,0.01918516921750377
28,Employment,Sales and Office,0.2348242811501597,0.1286193029490617,0.123757722266989,0.1230980212891008,0.1105002011532788,0.1133881623297829,0.09930146555266402,0.09048693113971076,0.0878105141536684,0.0819608351705356,0.07405700743861497,0.07244271280459619,0.08684998638714947,0.06538765538549975
