,Category,Attribute,2000_Oceanview/Merced/Ingleside,2010_Oceanview/Merced/Ingleside,2011_Oceanview/Merced/Ingleside,2012_Oceanview/Merced/Ingleside,2013_Oceanview/Merced/Ingleside,2014_Oceanview/Merced/Ingleside,2015_Oceanview/Merced/Ingleside,2016_Oceanview/Merced/Ingleside,2017_Oceanview/Merced/Ingleside,2018_Oceanview/Merced/Ingleside,2019_Oceanview/Merced/Ingleside,2020_Oceanview/Merced/Ingleside,2021_Oceanview/Merced/Ingleside,2022_Oceanview/Merced/Ingleside,2023_Oceanview/Merced/Ingleside,2024_Oceanview/Merced/Ingleside
506,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,1749.0,2266.0,2477.0,2546.0,2546.0,2521.0,2491.0,2619.0,2476.0,2304.0,2190.0,5619.0,1915.0,1686.0,1913.0,1864
497,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,1167.0,1510.0,1483.0,1293.0,1092.0,1073.0,1072.0,1170.0,987.0,1385.0,1049.0,5619.0,1067.0,999.0,1434.0,1471
500,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,1698.0,2062.0,2248.0,2316.0,2311.0,2376.0,2075.0,2443.0,2183.0,2304.0,2190.0,5619.0,1915.0,1686.0,1913.0,1864
503,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,1749.0,2266.0,2477.0,2546.0,2546.0,2521.0,2491.0,2619.0,2476.0,2304.0,2190.0,5619.0,1915.0,1686.0,1913.0,1864
504,Affordability,100 AMI Annual Income,57216.31205673759,68335.65459610028,68500.0,68241.10671936758,67667.8445229682,68313.05309734514,70546.37526652453,72274.1273100616,78865.46184738955,88899.90089197225,88697.91666666667,178315.1059466849,108126.77053824364,118146.9298245614,130521.93645990922,135113.06532663316
505,Affordability,100 AMI Monthly Affordable Rent,4768.026004728133,5694.637883008357,5708.333333333333,5686.758893280632,5638.987043580683,5692.754424778762,5878.86460554371,6022.843942505133,6572.121820615796,7408.325074331021,7391.493055555556,14859.592162223742,9010.564211520303,9845.577485380118,10876.828038325768,11259.422110552763
495,Affordability,30 AMI Annual Income,17164.893617021276,20500.696378830085,20550.0,20472.332015810276,20300.353356890457,20493.91592920354,21163.912579957356,21682.23819301848,23659.638554216865,26669.970267591674,26609.375,53494.53178400547,32438.03116147309,35444.07894736842,39156.580937972765,40533.919597989945
496,Affordability,30 AMI Monthly Affordable Rent,1430.4078014184397,1708.3913649025071,1712.5,1706.0276679841897,1691.6961130742047,1707.8263274336284,1763.659381663113,1806.8531827515399,1971.6365461847388,2222.497522299306,2217.4479166666665,4457.877648667122,2703.169263456091,2953.673245614035,3263.0484114977303,3377.8266331658288
498,Affordability,50 AMI Annual Income,28608.156028368794,34167.82729805014,34250.0,34120.55335968379,33833.9222614841,34156.52654867257,35273.18763326226,36137.0636550308,39432.73092369478,44449.95044598613,44348.958333333336,89157.55297334245,54063.38526912182,59073.4649122807,65260.96822995461,67556.53266331658
499,Affordability,50 AMI Monthly Affordable Rent,2384.0130023640663,2847.3189415041784,2854.1666666666665,2843.379446640316,2819.4935217903417,2846.377212389381,2939.432302771855,3011.4219712525664,3286.060910307898,3704.1625371655105,3695.746527777778,7429.796081111871,4505.282105760151,4922.788742690059,5438.414019162884,5629.711055276382
501,Affordability,80 AMI Annual Income,45773.04964539007,54668.52367688023,54800.0,54592.88537549407,54134.27561837456,54650.44247787612,56437.10021321962,57819.301848049276,63092.36947791165,71119.92071357781,70958.33333333334,142652.0847573479,86501.41643059492,94517.54385964913,104417.54916792738,108090.45226130653
