,Category,Attribute,Percent Of,2000_Chinatown,2010_Chinatown,2011_Chinatown,2012_Chinatown,2013_Chinatown,2014_Chinatown,2015_Chinatown,2016_Chinatown,2017_Chinatown,2018_Chinatown,2019_Chinatown,2020_Chinatown,2021_Chinatown,2022_Chinatown,2023_Chinatown,2024_Chinatown
542,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,None,6338.0,6157.0,6031.0,5872.0,5616.0,5422.0,5460.0,5580.0,5320.0,5349.0,5786.0,6386.0,5251.0,5489.0,5278.0,5101
533,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,None,3806.0,2604.0,2246.0,2212.0,2614.0,1925.0,2291.0,2183.0,2315.0,3070.0,2516.0,3715.0,2643.0,2608.0,2596.0,2280
536,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,None,5425.0,5119.0,4930.0,4639.0,4352.0,3968.0,3963.0,3972.0,4012.0,4120.0,4459.0,4810.0,3627.0,4272.0,3882.0,3790
539,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,None,6136.0,5613.0,5690.0,5565.0,5256.0,4986.0,5035.0,5162.0,5320.0,4896.0,5418.0,6123.0,4706.0,5278.0,5010.0,4923
540,Affordability,100 AMI Annual Income,None,16975.8064516129,18368.200836820084,19888.79003558719,18805.555555555555,20055.89430894309,19957.579185520364,20508.744038155804,21219.15820029028,23268.0,29277.777777777777,25255.23560209424,45355.83941605839,28608.179419525062,30998.29351535836,33536.76470588235,31509.90099009901
541,Affordability,100 AMI Monthly Affordable Rent,None,1414.6505376344085,1530.6834030683403,1657.3991696322657,1567.1296296296296,1671.3245257452575,1663.1315987933638,1709.0620031796504,1768.2631833575233,1939.0,2439.814814814815,2104.6029668411866,3779.6532846715327,2384.0149516270885,2583.1911262798635,2794.7303921568623,2625.825082508251
531,Affordability,30 AMI Annual Income,None,5092.74193548387,5510.460251046025,5966.637010676157,5641.666666666666,6016.768292682927,5987.273755656109,6152.623211446741,6365.747460087084,6980.4,8783.333333333332,7576.5706806282715,13606.751824817517,8582.453825857518,9299.488054607507,10061.029411764704,9452.970297029702
532,Affordability,30 AMI Monthly Affordable Rent,None,424.3951612903225,459.20502092050214,497.21975088967974,470.13888888888886,501.3973577235772,498.93947963800906,512.7186009538951,530.478955007257,581.6999999999999,731.9444444444443,631.380890052356,1133.8959854014597,715.2044854881265,774.957337883959,838.4191176470587,787.7475247524752
534,Affordability,50 AMI Annual Income,None,8487.90322580645,9184.100418410042,9944.395017793595,9402.777777777777,10027.947154471545,9978.789592760182,10254.372019077902,10609.57910014514,11634.0,14638.888888888889,12627.61780104712,22677.919708029196,14304.089709762531,15499.14675767918,16768.382352941175,15754.950495049505
535,Affordability,50 AMI Monthly Affordable Rent,None,707.3252688172042,765.3417015341702,828.6995848161329,783.5648148148148,835.6622628726287,831.5657993966819,854.5310015898252,884.1315916787617,969.5,1219.9074074074074,1052.3014834205933,1889.8266423357663,1192.0074758135443,1291.5955631399318,1397.3651960784312,1312.9125412541255
537,Affordability,80 AMI Annual Income,None,13580.645161290322,14694.560669456068,15911.032028469752,15044.444444444445,16044.715447154473,15966.063348416292,16406.995230524644,16975.326560232224,18614.4,23422.222222222223,20204.18848167539,36284.67153284672,22886.54353562005,24798.63481228669,26829.41176470588,25207.92079207921
538,Affordability,80 AMI Monthly Affordable Rent,None,1131.720430107527,1224.5467224546724,1325.9193357058127,1253.7037037037037,1337.059620596206,1330.505279034691,1367.2496025437204,1414.6105466860188,1551.2,1951.851851851852,1683.6823734729494,3023.7226277372265,1907.211961301671,2066.552901023891,2235.78431372549,2100.660066006601
0,Age,"0-2 Years, Under 6 Years",Population Under 6 Years,0.5573440643863179,0.6552462526766595,0.5433526011560693,0.3709090909090909,0.4855072463768116,0.4529616724738676,0.4962962962962963,0.6165919282511211,0.638095238095238,0.6487730061349694,0.6502546689303905,0.634090909090909,0.5427728613569321,0.5749318801089919,0.5,0.483695652173913
1,Age,0-4 Years,Total Population,0.0280887158450949,0.027351654807755,0.0209372538724074,0.0162666666666666,0.0171754444817175,0.0185654586558881,0.0183454241071428,0.0285463625320556,0.0330834307724052,0.0483759066540523,0.0356004986840282,0.023456708086916,0.021974010804497,0.0231505148616081,0.0105979120531477,0.0129042931590702
2,Age,18-34 Years,Total Population,0.1770840575679621,0.2001436125073438,0.2053688632186925,0.2126666666666666,0.2161019792016102,0.2125094197437829,0.2172154017857142,0.2248616547442299,0.2223674255450856,0.2210659098076316,0.2106247402687353,0.267592531065187,0.2306176084099868,0.218943985978237,0.1986713065485605,0.2004301431053023
