,Category,Attribute,Percent Of,2000_Western Addition,2010_Western Addition,2011_Western Addition,2012_Western Addition,2013_Western Addition,2014_Western Addition,2015_Western Addition,2016_Western Addition,2017_Western Addition,2018_Western Addition,2019_Western Addition,2020_Western Addition,2021_Western Addition,2022_Western Addition,2023_Western Addition,2024_Western Addition
542,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,None,8887.0,8626.0,8475.0,8820.0,9109.0,8883.0,8405.0,8058.0,8127.0,5758.0,7954.0,2972.0,7648.0,7300.0,7445.0,7190
533,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,None,5556.0,3245.0,3268.0,3406.0,3525.0,3425.0,4504.0,5011.0,4747.0,3665.0,4556.0,2350.0,5062.0,4582.0,4722.0,5477
536,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,None,7212.0,5536.0,5146.0,5264.0,5468.0,5113.0,6590.0,7023.0,6765.0,5758.0,7353.0,2972.0,7648.0,7300.0,7445.0,7190
539,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,None,8887.0,8626.0,8406.0,8743.0,9027.0,8883.0,8405.0,8058.0,8127.0,5758.0,7954.0,2972.0,7648.0,7300.0,7445.0,7190
540,Affordability,100 AMI Annual Income,None,40337.71929824561,47330.188679245286,42825.0773993808,42123.655913978495,44114.3216080402,47006.04838709677,54446.52908067542,61995.841995842,63527.02702702703,87055.95026642983,76238.63636363637,110996.4093357271,92526.90802348335,99658.41161400512,98385.82677165356,101335.1134846462
541,Affordability,100 AMI Monthly Affordable Rent,None,3361.4766081871344,3944.182389937107,3568.7564499484,3510.304659498208,3676.193467336683,3917.170698924731,4537.210756722951,5166.320166320166,5293.918918918919,7254.662522202486,6353.219696969697,9249.70077797726,7710.575668623613,8304.867634500426,8198.818897637797,8444.592790387183
531,Affordability,30 AMI Annual Income,None,12101.315789473683,14199.056603773586,12847.52321981424,12637.096774193547,13234.296482412059,14101.814516129032,16333.958724202625,18598.7525987526,19058.108108108107,26116.785079928948,22871.590909090908,33298.92280071813,27758.072407045005,29897.523484201534,29515.748031496067,30400.534045393855
532,Affordability,30 AMI Monthly Affordable Rent,None,1008.4429824561403,1183.254716981132,1070.62693498452,1053.0913978494623,1102.858040201005,1175.1512096774193,1361.1632270168855,1549.8960498960498,1588.1756756756756,2176.3987566607457,1905.965909090909,2774.9102333931774,2313.172700587084,2491.4602903501277,2459.645669291339,2533.3778371161548
534,Affordability,50 AMI Annual Income,None,20168.859649122805,23665.094339622643,21412.5386996904,21061.827956989247,22057.1608040201,23503.024193548386,27223.26454033771,30997.920997921,31763.513513513513,43527.97513321492,38119.318181818184,55498.20466786355,46263.45401174168,49829.20580700256,49192.91338582678,50667.5567423231
535,Affordability,50 AMI Monthly Affordable Rent,None,1680.7383040935672,1972.0911949685535,1784.3782249742,1755.152329749104,1838.0967336683416,1958.5853494623655,2268.6053783614757,2583.160083160083,2646.9594594594596,3627.331261101243,3176.6098484848485,4624.85038898863,3855.2878343118064,4152.433817250213,4099.409448818898,4222.296395193592
537,Affordability,80 AMI Annual Income,None,32270.17543859649,37864.15094339623,34260.061919504646,33698.9247311828,35291.45728643216,37604.83870967742,43557.22326454034,49596.6735966736,50821.62162162163,69644.76021314388,60990.909090909096,88797.12746858169,74021.52641878669,79726.7292912041,78708.66141732286,81068.09078771697
538,Affordability,80 AMI Monthly Affordable Rent,None,2689.1812865497072,3155.3459119496856,2855.0051599587205,2808.2437275985667,2940.954773869347,3133.7365591397847,3629.768605378362,4133.056133056133,4235.135135135136,5803.73001776199,5082.575757575758,7399.7606223818075,6168.460534898891,6643.894107600342,6559.055118110238,6755.674232309747
0,Age,"0-2 Years, Under 6 Years",Population Under 6 Years,0.4947368421052631,0.6578947368421053,0.6412825651302605,0.5,0.4967602591792656,0.3897058823529412,0.4317111459968603,0.5341463414634147,0.6340508806262231,0.6633064516129032,0.6312718786464411,0.6085164835164835,0.6162528216704289,0.5164835164835165,0.5108877721943048,0.5708908406524467
1,Age,0-4 Years,Total Population,0.0299137011538834,0.0312386487468216,0.0227260880896533,0.0172916666666666,0.0192485746308659,0.0189224962007941,0.0203126462604137,0.0287141635537152,0.0366125716285376,0.0288461538461538,0.033706374131906,0.0426721680827384,0.0197371412979216,0.019359776687227,0.0248345871476479,0.0298366834170854
2,Age,18-34 Years,Total Population,0.3637641811306119,0.3231799076332313,0.3230648944487881,0.3271875,0.3463281516495297,0.33967351340752,0.3331929233361415,0.3451550474818848,0.3456541708586676,0.2974598930481283,0.3352943778475693,0.2462064659735606,0.3463095183955614,0.3115123137184278,0.2928940451373153,0.2825735821966977
3,Age,"3-5 Years, Under 6 Years",Population Under 6 Years,0.5052631578947369,0.3421052631578947,0.3587174348697395,0.5,0.5032397408207343,0.6102941176470589,0.5682888540031397,0.4658536585365854,0.3659491193737769,0.3366935483870967,0.3687281213535589,0.3914835164835165,0.3837471783295711,0.4835164835164835,0.4891122278056951,0.4291091593475533
4,Age,35-59 Years,Total Population,0.2882284495297197,0.3264490685485963,0.3166536356528538,0.31328125,0.3019346035768237,0.2957007696455708,0.2955630440887391,0.2973581169269544,0.2917632649490398,0.3439428218839983,0.3112752687220772,0.3608404136920112,0.3010596207194506,0.3120075638197289,0.3083930028097525,0.2989501076812634
5,Age,5-17 Years,Total Population,0.0844565111994569,0.0646048466607856,0.0682303883242116,0.0732291666666666,0.0679791433166025,0.0735820383352125,0.0770850884582982,0.0698951347945452,0.0706880713879532,0.0852529823118058,0.0683416640863449,0.1249491028529547,0.071080995042976,0.074602674350547,0.076089912081936,0.0774407753050969
6,Age,60 and older,Total Population,0.2336371569863279,0.2545275284105651,0.269324993484493,0.2690104166666666,0.264509526826178,0.2721211824109025,0.2738462978564073,0.2588775372429002,0.2552819211758015,0.2444981489099136,0.2513823152121024,0.225331849398735,0.2618127245440902,0.2825176714240691,0.2977884528233481,0.3111988513998564
7,Age,Under 18 Years,None,2359.0,1847.0,1745.0,1724.0,1779.0,1878.0,2061.0,2168.0,2444.0,2502.0,2298.0,2094.0,1997.0,2087.0,2227.0,2391.0
8,Age,Under 6 Years,None,760.0,646.0,499.0,366.0,463.0,544.0,637.0,820.0,1022.0,992.0,857.0,728.0,443.0,455.0,597.0,797.0
543,Educational Attainment,College Degree or higher,Total Population 25+,0.4482906506555569,0.5350485188968335,0.5374824101317641,0.545407967208915,0.5571719348659003,0.5857863751051303,0.56887288523091,0.5847784724109812,0.6021788129226145,0.5757119558399197,0.6215724078834619,0.3669147709403501,0.6315932868352223,0.6201708666917415,0.605018537424104,0.5895602623373831
9,Educational Attainment,"College Degree or higher by Race, American Indian and Alaska Native Alone",None,0.4186046511627907,0.2,0.1320754716981132,0.0983606557377049,0.2461538461538461,0.3243243243243243,0.0,0.0,0.0,0.4705882352941176,0.0,0.036231884057971,0.0337078651685393,0.3689839572192513,0.4245283018867924,0.4353932584269663
10,Educational Attainment,"College Degree or higher by Race, Asian Alone",None,0.4640190088255261,0.5360094451003542,0.5455295735900962,0.5651112316874661,0.6034001522456229,0.5664003994008987,0.5609924190213645,0.5718151540383014,0.5392370033603479,0.5176901179341196,0.6023321270607157,0.3704580152671756,0.5554711246200608,0.5679154658981749,0.572566051393413,0.5046967043464416
11,Educational Attainment,"College Degree or higher by Race, Black or African American Alone",None,0.1731757451181911,0.2439787300594307,0.1881390593047034,0.196893063583815,0.1443163097199341,0.1520771513353115,0.1784140969162995,0.1906625663964216,0.2200374531835206,0.4860215053763441,0.2584990378447723,0.2485955056179775,0.174459724950884,0.1758160237388724,0.160067396798652,0.167094017094017
12,Educational Attainment,"College Degree or higher by Race, Hispanic or Latino",None,0.3086294416243655,0.2391111111111111,0.2890879478827362,0.3268398268398268,0.3839464882943144,0.5136986301369864,0.5084516565246788,0.5443833464257659,0.5294953802416489,0.2833333333333333,0.4613596746077861,0.1655991615232327,0.625974025974026,0.5981642019377869,0.5238836967808931,0.5678766782695176
13,Educational Attainment,"College Degree or higher by Race, Native Hawaiian and Other Pacific Islander Alone",None,None,0.0,0.0,0.0,0.0,None,1.0,0.7142857142857143,0.56,0.0,0.4482758620689655,0.9113924050632912,None,0.0,0.0,0.0
14,Educational Attainment,"College Degree or higher by Race, Some Other Race Alone",None,0.3086124401913875,0.2283464566929134,0.2834394904458598,0.3530805687203791,0.4903846153846153,0.4829545454545454,0.5181975736568457,0.5684380032206119,0.4897196261682243,0.1882272416153319,0.2635561160151324,0.1627073906485671,0.491,0.497191011235955,0.4627749576988155,0.5805658056580566
15,Educational Attainment,"College Degree or higher by Race, Two or More Races",None,0.3549920760697306,0.6470588235294118,0.5772532188841202,0.5955284552845529,0.5841584158415841,0.5593803786574871,0.4279346210995542,0.5024,0.5903307888040712,0.3579387186629526,0.7051416579223505,0.2853932584269663,0.782274947662247,0.7383367139959433,0.7117852975495916,0.7446340121078702
16,Educational Attainment,"College Degree or higher by Race, White Alone",None,0.5853395616241466,0.6514622698278975,0.6694647201946472,0.6656877141458639,0.6881745659314875,0.7382718867709166,0.7392523364485981,0.7682333873581848,0.8025506718287406,0.702956020187455,0.7994909175054957,0.5055923030667469,0.8238374267547688,0.819609345078514,0.7816761551701311,0.8038518518518518
17,Educational Attainment,"College Degree or higher by Race, White Alone, Not Hispanic or Latino",None,0.6052767052767053,0.6942700681180713,0.7081146548243843,0.7040913415794482,0.7242603550295857,0.7478774455518642,0.7510811498346477,0.7717658632562715,0.8028134556574924,0.7288430637386181,0.8061352778476238,0.6525245441795231,0.8241412344327357,0.8186059275521405,0.7775305895439377,0.8011713933415536
544,Educational Attainment,High School or Less,Total Population 25+,0.3016174488420536,0.2277834525025536,0.2481770500191889,0.2209555527091072,0.2337164750957854,0.2129040009611918,0.2238225880201189,0.2077194889915738,0.208704518621874,0.1950821728766779,0.2065659811482433,0.3792151518328266,0.2023757628596338,0.2114878297780882,0.2322819837730374,0.2265347812063219
18,Educational Attainment,"High School or Less by Race, American Indian and Alaska Native Alone",None,0.1860465116279069,0.5666666666666667,0.7358490566037735,0.7540983606557377,0.2615384615384615,0.3378378378378378,0.8015873015873016,0.7684210526315789,0.8065843621399177,0.3725490196078431,0.7777777777777778,0.6811594202898551,0.7191011235955056,0.2780748663101604,0.2264150943396226,0.199438202247191
19,Educational Attainment,"High School or Less by Race, Asian Alone",None,0.3363883231500339,0.287780401416765,0.3067400275103163,0.2449810092240911,0.2557726465364121,0.2825761357963055,0.2926717206524236,0.2878850957535387,0.3308954338802135,0.2673851159007727,0.2736228387615601,0.4050381679389312,0.2634878419452887,0.254178674351585,0.2770539268910604,0.3206495780926604
20,Educational Attainment,"High School or Less by Race, Black or African American Alone",None,0.5411099691675231,0.4069440100093838,0.4829584185412406,0.4367774566473988,0.4925864909390445,0.4725519287833828,0.4483952171176841,0.4020128599384959,0.3704744069912609,0.1849462365591397,0.3745991019884541,0.3314606741573033,0.5355599214145383,0.5037091988130564,0.5080033698399326,0.4337606837606838
21,Educational Attainment,"High School or Less by Race, Hispanic or Latino",None,0.4091370558375634,0.4711111111111111,0.4503257328990228,0.3816738816738816,0.3364548494983277,0.2191780821917808,0.2461122379986477,0.2050274941084053,0.2757640369580668,0.3853658536585366,0.3747821034282394,0.5299871899382788,0.2519480519480519,0.2493625701172871,0.3099688473520249,0.2272501243162605
22,Educational Attainment,"High School or Less by Race, Native Hawaiian and Other Pacific Islander Alone",None,None,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,1.0,0.0,0.0886075949367088,None,0.5664335664335665,0.5705128205128205,0.5755102040816327
23,Educational Attainment,"High School or Less by Race, Some Other Race Alone",None,0.3875598086124402,0.5039370078740157,0.4713375796178344,0.3127962085308057,0.2192307692307692,0.2178030303030303,0.2045060658578856,0.1916264090177133,0.2878504672897196,0.4435318275154004,0.592686002522068,0.5333710407239819,0.42,0.3848314606741573,0.4348561759729272,0.2804428044280442
24,Educational Attainment,"High School or Less by Race, Two or More Races",None,0.2551505546751189,0.1134453781512605,0.1394849785407725,0.1341463414634146,0.2409240924092409,0.180722891566265,0.1783060921248142,0.1456,0.193384223918575,0.2116991643454039,0.1395592864637985,0.1685393258426966,0.0858339148639218,0.1582150101419878,0.1802800466744457,0.1563015960374243
25,Educational Attainment,"High School or Less by Race, White Alone",None,0.1781051622948856,0.1315441087976892,0.1333333333333333,0.1338717572197748,0.1318629751290474,0.1019290035384088,0.1025700934579439,0.0830053253067839,0.0598952402641767,0.1061043018505167,0.069304639592734,0.2673481659651233,0.0445081660640817,0.0608962083492914,0.0860585197934595,0.0682962962962963
26,Educational Attainment,"High School or Less by Race, White Alone, Not Hispanic or Latino",None,0.1601029601029601,0.0953652998530786,0.1017359709325797,0.1003126274296588,0.1025641025641025,0.0953611418727697,0.0939964385652505,0.0817757009345794,0.0605504587155963,0.0859667916443492,0.0656273573045008,0.1483169705469845,0.0420145066374709,0.0614709110867178,0.0888487208008898,0.0690505548705302
545,Educational Attainment,Some College/Associate Degree,Total Population 25+,0.2500919005023894,0.2371680286006128,0.2143405398490469,0.2336364800819777,0.2091115900383141,0.2013096239336777,0.2073045267489711,0.2075020385974449,0.1891166684555114,0.2292058712834023,0.1718616109682947,0.2538700772268232,0.1660309503051438,0.1683413035301703,0.1626994788028585,0.183904956456295
27,Educational Attainment,"Some College/Associate Degree by Race, American Indian and Alaska Native Alone",None,0.3953488372093023,0.2333333333333333,0.1320754716981132,0.1475409836065573,0.4923076923076923,0.3378378378378378,0.1984126984126984,0.231578947368421,0.1934156378600823,0.1568627450980392,0.2222222222222222,0.2826086956521739,0.247191011235955,0.3529411764705882,0.3490566037735849,0.3651685393258427
28,Educational Attainment,"Some College/Associate Degree by Race, Asian Alone",None,0.1995926680244399,0.1762101534828807,0.1477303988995873,0.1899077590884427,0.140827201217965,0.1510234648027958,0.1463358603262118,0.1402997502081598,0.1298675627594386,0.2149247661651077,0.1240450341777241,0.2245038167938931,0.1810410334346504,0.1779058597502401,0.1503800217155266,0.1746537175608979
29,Educational Attainment,"Some College/Associate Degree by Race, Black or African American Alone",None,0.2857142857142857,0.3490772599311855,0.3289025221540559,0.3663294797687861,0.3630971993410214,0.3753709198813056,0.3731906859660163,0.4073245736650824,0.4094881398252185,0.3290322580645161,0.3669018601667735,0.4199438202247191,0.2899803536345776,0.3204747774480712,0.3319292333614153,0.3991452991452991
30,Educational Attainment,"Some College/Associate Degree by Race, Hispanic or Latino",None,0.282233502538071,0.2897777777777778,0.260586319218241,0.2914862914862914,0.2795986622073578,0.2671232876712329,0.2454361054766734,0.2505891594658287,0.1947405828002843,0.3313008130081301,0.1638582219639744,0.3044136485384884,0.122077922077922,0.152473227944926,0.166147455867082,0.2048731974142217
31,Educational Attainment,"Some College/Associate Degree by Race, Native Hawaiian and Other Pacific Islander Alone",None,None,1.0,1.0,1.0,1.0,None,0.0,0.2857142857142857,0.44,0.0,0.5517241379310345,0.0,None,0.4335664335664335,0.4294871794871794,0.4244897959183673
32,Educational Attainment,"Some College/Associate Degree by Race, Some Other Race Alone",None,0.3038277511961722,0.2677165354330709,0.2452229299363057,0.3341232227488152,0.2903846153846154,0.2992424242424242,0.2772963604852686,0.2399355877616747,0.222429906542056,0.3682409308692676,0.1437578814627995,0.3039215686274509,0.089,0.1179775280898876,0.1023688663282571,0.1389913899138991
33,Educational Attainment,"Some College/Associate Degree by Race, Two or More Races",None,0.3898573692551506,0.2394957983193277,0.2832618025751073,0.2703252032520325,0.1749174917491749,0.2598967297762478,0.3937592867756315,0.352,0.2162849872773536,0.4303621169916434,0.155299055613851,0.5460674157303371,0.1318911374738311,0.1034482758620689,0.1079346557759626,0.0990643918547055
34,Educational Attainment,"Some College/Associate Degree by Race, White Alone",None,0.2365552760809677,0.2169936213744132,0.1972019464720194,0.2004405286343612,0.179962458939465,0.1597991096906745,0.1581775700934579,0.1487612873350312,0.1375540879070826,0.1909396779620283,0.1312044429017702,0.2270595309681299,0.1316544071811494,0.1194944465721945,0.1322653250364093,0.1278518518518518
35,Educational Attainment,"Some College/Associate Degree by Race, White Alone, Not Hispanic or Latino",None,0.2346203346203346,0.21036463202885,0.1901493742430359,0.195596030990893,0.1731755424063116,0.156761412575366,0.1549224116001017,0.146458435809149,0.1366360856269113,0.1851901446170326,0.1282373648478753,0.1991584852734922,0.1338442589297933,0.1199231613611416,0.1336206896551724,0.1297780517879161
36,Employment,"6-17, Living with One Parent",None,846.0,464.0,442.0,534.0,571.0,539.0,613.0,627.0,690.0,713.0,599.0,652.0,523.0,404.0,454.0,477.0
37,Employment,"6-17, Living with One Parent, Parent Not in Labor Force","Total 6-17, Living with One Parent",0.3652482269503546,0.3383620689655172,0.3167420814479638,0.3651685393258427,0.3450087565674256,0.4619666048237477,0.3523654159869494,0.3237639553429027,0.3130434782608696,0.3253856942496493,0.0918196994991652,0.1763803680981595,0.2237093690248566,0.1831683168316831,0.3303964757709251,0.3522012578616352
38,Employment,"6-17, Living with One Parent, Parent in Labor Force","Total 6-17, Living with One Parent",0.6347517730496454,0.6616379310344828,0.6832579185520362,0.6348314606741573,0.6549912434325744,0.5380333951762524,0.6476345840130505,0.6762360446570973,0.6869565217391305,0.6746143057503506,0.9081803005008348,0.8236196319018405,0.7762906309751434,0.8168316831683168,0.6696035242290749,0.6477987421383647
