,Category,Attribute,Percent Of,2024_Treasure Island,2024_San Francisco,2023_Treasure Island,2023_San Francisco,2022_Treasure Island,2022_San Francisco,2021_Treasure Island,2021_San Francisco,2020_Treasure Island,2020_San Francisco,2019_Treasure Island,2019_San Francisco,2018_Treasure Island,2018_San Francisco,2017_Treasure Island,2017_San Francisco,2016_Treasure Island,2016_San Francisco,2015_Treasure Island,2015_San Francisco,2014_Treasure Island,2014_San Francisco,2013_Treasure Island,2013_San Francisco,2012_Treasure Island,2012_San Francisco,2011_Treasure Island,2011_San Francisco,2010_Treasure Island,2010_San Francisco,2000_Treasure Island,2000_San Francisco
0,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,None,490,156904,509.0,158878.0,551.0,164391.0,597.0,177267.0,82.0,179637.0,572.0,194605.0,243.0,196852.0,579.0,201554.0,582.0,206125.0,587.0,208027.0,608.0,219759.0,598.0,217742.0,619.0,213982.0,592.0,212110.0,640.0,209068.0,483.0,209020.0
1,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,None,176,156904,152.0,158878.0,173.0,142404.0,193.0,155085.0,82.0,133315.0,149.0,146746.0,232.0,152803.0,202.0,131265.0,220.0,139452.0,201.0,146046.0,223.0,103611.0,229.0,106717.0,232.0,108966.0,145.0,114525.0,189.0,119019.0,413.0,147066.0
2,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,None,490,156904,509.0,158878.0,551.0,164391.0,597.0,177267.0,82.0,179637.0,235.0,194605.0,243.0,196852.0,286.0,201554.0,303.0,206125.0,231.0,195487.0,255.0,219759.0,266.0,217742.0,276.0,213982.0,198.0,212110.0,189.0,203005.0,483.0,193235.0
3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,None,490,156904,509.0,158878.0,551.0,164391.0,597.0,177267.0,82.0,179637.0,572.0,194605.0,243.0,196852.0,579.0,201554.0,563.0,206125.0,560.0,208027.0,608.0,219759.0,406.0,217742.0,415.0,213982.0,381.0,212110.0,640.0,209068.0,483.0,209020.0
4,Affordability,100 AMI Annual Income,None,87500.0,140630.3486172417,86987.70491803279,140840.72978303747,93965.5172413793,136440.23367285798,84146.34146341463,126479.8932723461,195161.29032258064,117453.07472291742,54285.71428571428,113537.43350844154,136465.5172413793,104995.55809378768,53287.67123287671,96817.47583985272,48970.58823529412,88612.28084661327,40740.74074074074,81982.65550239234,37794.117647058825,78773.52733781732,36710.52631578947,75789.09138932911,36601.5625,73882.86576506091,35694.444444444445,73015.850789739,47763.15789473684,71436.31988152536,82317.0731707317,55915.28958767848
5,Affordability,100 AMI Monthly Affordable Rent,None,7291.666666666667,11719.195718103474,7248.975409836065,11736.72748191979,7830.459770114942,11370.019472738166,7012.195121951219,10539.991106028841,16263.440860215052,9787.756226909785,4523.809523809524,9461.452792370128,11372.12643678161,8749.629841148973,4440.6392694063925,8068.122986654394,4080.8823529411766,7384.356737217772,3395.0617283950614,6831.887958532695,3149.5098039215686,6564.460611484777,3059.2105263157896,6315.7576157774265,3050.1302083333335,6156.905480421742,2974.537037037037,6084.6542324782495,3980.2631578947367,5953.02665679378,6859.756097560975,4659.607465639873
6,Affordability,30 AMI Annual Income,None,26250.0,42189.10458517251,26096.311475409835,42252.21893491124,28189.65517241379,40932.0701018574,25243.90243902439,37943.96798170383,58548.38709677419,35235.922416875226,16285.714285714284,34061.23005253246,40939.65517241379,31498.6674281363,15986.301369863013,29045.242751955815,14691.176470588236,26583.68425398398,12222.22222222222,24594.7966507177,11338.235294117647,23632.058201345193,11013.157894736842,22736.727416798734,10980.46875,22164.859729518274,10708.333333333334,21904.755236921697,14328.947368421052,21430.895964457606,24695.12195121951,16774.586876303543
7,Affordability,30 AMI Monthly Affordable Rent,None,2187.5,3515.758715431042,2174.6926229508194,3521.0182445759365,2349.1379310344823,3411.00584182145,2103.6585365853657,3161.9973318086522,4879.032258064516,2936.3268680729357,1357.142857142857,2838.4358377110384,3411.6379310344823,2624.888952344692,1332.1917808219177,2420.436895996318,1224.264705882353,2215.3070211653317,1018.5185185185184,2049.5663875598084,944.8529411764706,1969.3381834454328,917.7631578947368,1894.7272847332279,915.0390625,1847.0716441265229,892.3611111111112,1825.3962697434747,1194.078947368421,1785.9079970381338,2057.9268292682923,1397.882239691962
8,Affordability,50 AMI Annual Income,None,43750.0,70315.17430862084,43493.852459016394,70420.36489151874,46982.75862068965,68220.11683642899,42073.170731707316,63239.94663617305,97580.64516129032,58726.53736145871,27142.85714285714,56768.71675422077,68232.75862068965,52497.77904689384,26643.835616438355,48408.73791992636,24485.29411764706,44306.140423306635,20370.37037037037,40991.32775119617,18897.058823529413,39386.76366890866,18355.263157894737,37894.54569466456,18300.78125,36941.432882530455,17847.222222222223,36507.9253948695,23881.57894736842,35718.15994076268,41158.53658536585,27957.64479383924
9,Affordability,50 AMI Monthly Affordable Rent,None,3645.8333333333335,5859.597859051737,3624.4877049180327,5868.363740959895,3915.229885057471,5685.009736369083,3506.0975609756097,5269.995553014421,8131.720430107526,4893.878113454893,2261.904761904762,4730.726396185064,5686.063218390805,4374.814920574487,2220.3196347031962,4034.061493327197,2040.4411764705883,3692.178368608886,1697.5308641975307,3415.9439792663475,1574.7549019607843,3282.2303057423883,1529.6052631578948,3157.8788078887133,1525.0651041666667,3078.452740210871,1487.2685185185185,3042.3271162391247,1990.1315789473683,2976.51332839689,3429.8780487804875,2329.8037328199366
