,Category,Attribute,2000_San Francisco,2010_San Francisco,2011_San Francisco,2012_San Francisco,2013_San Francisco,2014_San Francisco,2015_San Francisco,2016_San Francisco,2017_San Francisco,2018_San Francisco,2019_San Francisco,2020_San Francisco,2021_San Francisco,2022_San Francisco,2023_San Francisco,2024_San Francisco
506,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,209020.0,209068.0,212110.0,213982.0,217742.0,219759.0,208027.0,206125.0,201554.0,196852.0,194605.0,179637.0,177267.0,164391.0,158878.0,156904
497,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,147066.0,119019.0,114525.0,108966.0,106717.0,103611.0,146046.0,139452.0,131265.0,152803.0,146746.0,133315.0,155085.0,142404.0,158878.0,156904
500,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,193235.0,203005.0,212110.0,213982.0,217742.0,219759.0,195487.0,206125.0,201554.0,196852.0,194605.0,179637.0,177267.0,164391.0,158878.0,156904
503,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,209020.0,209068.0,212110.0,213982.0,217742.0,219759.0,208027.0,206125.0,201554.0,196852.0,194605.0,179637.0,177267.0,164391.0,158878.0,156904
504,Affordability,100 AMI Annual Income,55915.28958767848,71436.31988152536,73015.850789739,73882.86576506091,75789.09138932911,78773.52733781732,81982.65550239234,88612.28084661327,96817.47583985272,104995.55809378768,113537.43350844154,117453.07472291742,126479.8932723461,136440.23367285798,140840.72978303747,140630.3486172417
505,Affordability,100 AMI Monthly Affordable Rent,4659.607465639873,5953.02665679378,6084.6542324782495,6156.905480421742,6315.7576157774265,6564.460611484777,6831.887958532695,7384.356737217772,8068.122986654394,8749.629841148973,9461.452792370128,9787.756226909785,10539.991106028841,11370.019472738166,11736.72748191979,11719.195718103474
495,Affordability,30 AMI Annual Income,16774.586876303543,21430.895964457606,21904.755236921697,22164.859729518274,22736.727416798734,23632.058201345193,24594.7966507177,26583.68425398398,29045.242751955815,31498.6674281363,34061.23005253246,35235.922416875226,37943.96798170383,40932.0701018574,42252.21893491124,42189.10458517251
496,Affordability,30 AMI Monthly Affordable Rent,1397.882239691962,1785.9079970381338,1825.3962697434747,1847.0716441265229,1894.7272847332279,1969.3381834454328,2049.5663875598084,2215.3070211653317,2420.436895996318,2624.888952344692,2838.4358377110384,2936.3268680729357,3161.9973318086522,3411.00584182145,3521.0182445759365,3515.758715431042
498,Affordability,50 AMI Annual Income,27957.64479383924,35718.15994076268,36507.9253948695,36941.432882530455,37894.54569466456,39386.76366890866,40991.32775119617,44306.140423306635,48408.73791992636,52497.77904689384,56768.71675422077,58726.53736145871,63239.94663617305,68220.11683642899,70420.36489151874,70315.17430862084
499,Affordability,50 AMI Monthly Affordable Rent,2329.8037328199366,2976.51332839689,3042.3271162391247,3078.452740210871,3157.8788078887133,3282.2303057423883,3415.9439792663475,3692.178368608886,4034.061493327197,4374.814920574487,4730.726396185064,4893.878113454893,5269.995553014421,5685.009736369083,5868.363740959895,5859.597859051737
501,Affordability,80 AMI Annual Income,44732.23167014279,57149.05590522029,58412.6806317912,59106.29261204873,60631.27311146329,63018.82187025386,65586.12440191388,70889.82467729061,77453.98067188218,83996.44647503016,90829.94680675323,93962.45977833394,101183.91461787689,109152.1869382864,112672.58382642998,112504.27889379335
