,Category,Attribute,2000_Bernal Heights,2000_San Francisco,2010_Bernal Heights,2010_San Francisco,2011_Bernal Heights,2011_San Francisco,2012_Bernal Heights,2012_San Francisco,2013_Bernal Heights,2013_San Francisco,2014_Bernal Heights,2014_San Francisco,2015_Bernal Heights,2015_San Francisco,2016_Bernal Heights,2016_San Francisco,2017_Bernal Heights,2017_San Francisco,2018_Bernal Heights,2018_San Francisco,2019_Bernal Heights,2019_San Francisco,2020_Bernal Heights,2020_San Francisco,2021_Bernal Heights,2021_San Francisco,2022_Bernal Heights,2022_San Francisco,2023_Bernal Heights,2023_San Francisco,2024_Bernal Heights,2024_San Francisco
0,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,4108.0,209020.0,4035.0,209068.0,4134.0,212110.0,4136.0,213982.0,4170.0,217742.0,4155.0,219759.0,3679.0,208027.0,3542.0,206125.0,3428.0,201554.0,5004.0,196852.0,3242.0,194605.0,3978.0,179637.0,2976.0,177267.0,2563.0,164391.0,2424.0,158878.0,2187,156904
1,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,3396.0,147066.0,3123.0,119019.0,2912.0,114525.0,2764.0,108966.0,2835.0,106717.0,2736.0,103611.0,2470.0,146046.0,2801.0,139452.0,3112.0,131265.0,3804.0,152803.0,2865.0,146746.0,2307.0,133315.0,2976.0,155085.0,2563.0,142404.0,2424.0,158878.0,2187,156904
2,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,4108.0,193235.0,4035.0,203005.0,4134.0,212110.0,4136.0,213982.0,4170.0,217742.0,4155.0,219759.0,3679.0,195487.0,3542.0,206125.0,3428.0,201554.0,5004.0,196852.0,3242.0,194605.0,3978.0,179637.0,2976.0,177267.0,2563.0,164391.0,2424.0,158878.0,2187,156904
3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,4108.0,209020.0,4035.0,209068.0,4134.0,212110.0,4136.0,213982.0,4170.0,217742.0,4155.0,219759.0,3679.0,208027.0,3542.0,206125.0,3428.0,201554.0,5004.0,196852.0,3242.0,194605.0,3978.0,179637.0,2976.0,177267.0,2563.0,164391.0,2424.0,158878.0,2187,156904
4,Affordability,100 AMI Annual Income,62796.875,55915.28958767848,85774.25373134328,71436.31988152536,87013.23987538941,73015.850789739,91161.0878661088,73882.86576506091,90738.34196891192,75789.09138932911,92545.63894523328,78773.52733781732,98285.80097087378,81982.65550239234,106914.0625,88612.28084661327,123410.5180533752,96817.47583985272,116062.09150326798,104995.55809378768,139519.0023752969,113537.43350844154,92233.72781065087,117453.07472291742,153638.25363825363,126479.8932723461,158532.65869365225,136440.23367285798,170779.52029520296,140840.72978303747,180779.28870292887,140630.3486172417
5,Affordability,100 AMI Monthly Affordable Rent,5233.072916666667,4659.607465639873,7147.854477611941,5953.02665679378,7251.103322949118,6084.6542324782495,7596.757322175734,6156.905480421742,7561.5284974093265,6315.7576157774265,7712.13657876944,6564.460611484777,8190.483414239482,6831.887958532695,8909.505208333334,7384.356737217772,10284.209837781267,8068.122986654394,9671.840958605664,8749.629841148973,11626.583531274742,9461.452792370128,7686.1439842209065,9787.756226909785,12803.187803187802,10539.991106028841,13211.054891137688,11370.019472738166,14231.626691266914,11736.72748191979,15064.940725244072,11719.195718103474
6,Affordability,30 AMI Annual Income,18839.0625,16774.586876303543,25732.276119402984,21430.895964457606,26103.971962616823,21904.755236921697,27348.32635983264,22164.859729518274,27221.502590673575,22736.727416798734,27763.691683569985,23632.058201345193,29485.740291262133,24594.7966507177,32074.21875,26583.68425398398,37023.15541601256,29045.242751955815,34818.62745098039,31498.6674281363,41855.70071258907,34061.23005253246,27670.118343195263,35235.922416875226,46091.47609147609,37943.96798170383,47559.79760809567,40932.0701018574,51233.85608856089,42252.21893491124,54233.78661087866,42189.10458517251
7,Affordability,30 AMI Monthly Affordable Rent,1569.921875,1397.882239691962,2144.356343283582,1785.9079970381338,2175.330996884735,1825.3962697434747,2279.0271966527202,1847.0716441265229,2268.458549222798,1894.7272847332279,2313.640973630832,1969.3381834454328,2457.1450242718442,2049.5663875598084,2672.8515625,2215.3070211653317,3085.26295133438,2420.436895996318,2901.552287581699,2624.888952344692,3487.9750593824224,2838.4358377110384,2305.843195266272,2936.3268680729357,3840.956340956341,3161.9973318086522,3963.316467341306,3411.00584182145,4269.488007380074,3521.0182445759365,4519.4822175732215,3515.758715431042
8,Affordability,50 AMI Annual Income,31398.4375,27957.64479383924,42887.12686567164,35718.15994076268,43506.619937694704,36507.9253948695,45580.5439330544,36941.432882530455,45369.17098445596,37894.54569466456,46272.81947261664,39386.76366890866,49142.90048543689,40991.32775119617,53457.03125,44306.140423306635,61705.2590266876,48408.73791992636,58031.04575163399,52497.77904689384,69759.50118764845,56768.71675422077,46116.86390532544,58726.53736145871,76819.12681912682,63239.94663617305,79266.32934682613,68220.11683642899,85389.76014760148,70420.36489151874,90389.64435146443,70315.17430862084
9,Affordability,50 AMI Monthly Affordable Rent,2616.5364583333335,2329.8037328199366,3573.9272388059703,2976.51332839689,3625.551661474559,3042.3271162391247,3798.378661087867,3078.452740210871,3780.7642487046633,3157.8788078887133,3856.06828938472,3282.2303057423883,4095.241707119741,3415.9439792663475,4454.752604166667,3692.178368608886,5142.104918890634,4034.061493327197,4835.920479302832,4374.814920574487,5813.291765637371,4730.726396185064,3843.0719921104533,4893.878113454893,6401.593901593901,5269.995553014421,6605.527445568844,5685.009736369083,7115.813345633457,5868.363740959895,7532.470362622036,5859.597859051737
