,Category,Attribute,Percent Of,2024_Western Addition,2024_San Francisco,2023_Western Addition,2023_San Francisco,2022_Western Addition,2022_San Francisco,2021_Western Addition,2021_San Francisco,2020_Western Addition,2020_San Francisco,2019_Western Addition,2019_San Francisco,2018_Western Addition,2018_San Francisco,2017_Western Addition,2017_San Francisco,2016_Western Addition,2016_San Francisco,2015_Western Addition,2015_San Francisco,2014_Western Addition,2014_San Francisco,2013_Western Addition,2013_San Francisco,2012_Western Addition,2012_San Francisco,2011_Western Addition,2011_San Francisco,2010_Western Addition,2010_San Francisco,2000_Western Addition,2000_San Francisco
0,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,None,7190,156904,7445.0,158878.0,7300.0,164391.0,7648.0,177267.0,2972.0,179637.0,7954.0,194605.0,5758.0,196852.0,8127.0,201554.0,8058.0,206125.0,8405.0,208027.0,8883.0,219759.0,9109.0,217742.0,8820.0,213982.0,8475.0,212110.0,8626.0,209068.0,8887.0,209020.0
1,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,None,5477,156904,4722.0,158878.0,4582.0,142404.0,5062.0,155085.0,2350.0,133315.0,4556.0,146746.0,3665.0,152803.0,4747.0,131265.0,5011.0,139452.0,4504.0,146046.0,3425.0,103611.0,3525.0,106717.0,3406.0,108966.0,3268.0,114525.0,3245.0,119019.0,5556.0,147066.0
2,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,None,7190,156904,7445.0,158878.0,7300.0,164391.0,7648.0,177267.0,2972.0,179637.0,7353.0,194605.0,5758.0,196852.0,6765.0,201554.0,7023.0,206125.0,6590.0,195487.0,5113.0,219759.0,5468.0,217742.0,5264.0,213982.0,5146.0,212110.0,5536.0,203005.0,7212.0,193235.0
3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,None,7190,156904,7445.0,158878.0,7300.0,164391.0,7648.0,177267.0,2972.0,179637.0,7954.0,194605.0,5758.0,196852.0,8127.0,201554.0,8058.0,206125.0,8405.0,208027.0,8883.0,219759.0,9027.0,217742.0,8743.0,213982.0,8406.0,212110.0,8626.0,209068.0,8887.0,209020.0
4,Affordability,100 AMI Annual Income,None,101335.1134846462,140630.3486172417,98385.82677165356,140840.72978303747,99658.41161400512,136440.23367285798,92526.90802348335,126479.8932723461,110996.4093357271,117453.07472291742,76238.63636363637,113537.43350844154,87055.95026642983,104995.55809378768,63527.02702702703,96817.47583985272,61995.841995842,88612.28084661327,54446.52908067542,81982.65550239234,47006.04838709677,78773.52733781732,44114.3216080402,75789.09138932911,42123.655913978495,73882.86576506091,42825.0773993808,73015.850789739,47330.188679245286,71436.31988152536,40337.71929824561,55915.28958767848
5,Affordability,100 AMI Monthly Affordable Rent,None,8444.592790387183,11719.195718103474,8198.818897637797,11736.72748191979,8304.867634500426,11370.019472738166,7710.575668623613,10539.991106028841,9249.70077797726,9787.756226909785,6353.219696969697,9461.452792370128,7254.662522202486,8749.629841148973,5293.918918918919,8068.122986654394,5166.320166320166,7384.356737217772,4537.210756722951,6831.887958532695,3917.170698924731,6564.460611484777,3676.193467336683,6315.7576157774265,3510.304659498208,6156.905480421742,3568.7564499484,6084.6542324782495,3944.182389937107,5953.02665679378,3361.4766081871344,4659.607465639873
6,Affordability,30 AMI Annual Income,None,30400.534045393855,42189.10458517251,29515.748031496067,42252.21893491124,29897.523484201534,40932.0701018574,27758.072407045005,37943.96798170383,33298.92280071813,35235.922416875226,22871.590909090908,34061.23005253246,26116.785079928948,31498.6674281363,19058.108108108107,29045.242751955815,18598.7525987526,26583.68425398398,16333.958724202625,24594.7966507177,14101.814516129032,23632.058201345193,13234.296482412059,22736.727416798734,12637.096774193547,22164.859729518274,12847.52321981424,21904.755236921697,14199.056603773586,21430.895964457606,12101.315789473683,16774.586876303543
7,Affordability,30 AMI Monthly Affordable Rent,None,2533.3778371161548,3515.758715431042,2459.645669291339,3521.0182445759365,2491.4602903501277,3411.00584182145,2313.172700587084,3161.9973318086522,2774.9102333931774,2936.3268680729357,1905.965909090909,2838.4358377110384,2176.3987566607457,2624.888952344692,1588.1756756756756,2420.436895996318,1549.8960498960498,2215.3070211653317,1361.1632270168855,2049.5663875598084,1175.1512096774193,1969.3381834454328,1102.858040201005,1894.7272847332279,1053.0913978494623,1847.0716441265229,1070.62693498452,1825.3962697434747,1183.254716981132,1785.9079970381338,1008.4429824561403,1397.882239691962
8,Affordability,50 AMI Annual Income,None,50667.5567423231,70315.17430862084,49192.91338582678,70420.36489151874,49829.20580700256,68220.11683642899,46263.45401174168,63239.94663617305,55498.20466786355,58726.53736145871,38119.318181818184,56768.71675422077,43527.97513321492,52497.77904689384,31763.513513513513,48408.73791992636,30997.920997921,44306.140423306635,27223.26454033771,40991.32775119617,23503.024193548386,39386.76366890866,22057.1608040201,37894.54569466456,21061.827956989247,36941.432882530455,21412.5386996904,36507.9253948695,23665.094339622643,35718.15994076268,20168.859649122805,27957.64479383924
9,Affordability,50 AMI Monthly Affordable Rent,None,4222.296395193592,5859.597859051737,4099.409448818898,5868.363740959895,4152.433817250213,5685.009736369083,3855.2878343118064,5269.995553014421,4624.85038898863,4893.878113454893,3176.6098484848485,4730.726396185064,3627.331261101243,4374.814920574487,2646.9594594594596,4034.061493327197,2583.160083160083,3692.178368608886,2268.6053783614757,3415.9439792663475,1958.5853494623655,3282.2303057423883,1838.0967336683416,3157.8788078887133,1755.152329749104,3078.452740210871,1784.3782249742,3042.3271162391247,1972.0911949685535,2976.51332839689,1680.7383040935672,2329.8037328199366
