,Category,Attribute,2024_Haight Ashbury,2024_San Francisco,2023_Haight Ashbury,2023_San Francisco,2022_Haight Ashbury,2022_San Francisco,2021_Haight Ashbury,2021_San Francisco,2020_Haight Ashbury,2020_San Francisco,2019_Haight Ashbury,2019_San Francisco,2018_Haight Ashbury,2018_San Francisco,2017_Haight Ashbury,2017_San Francisco,2016_Haight Ashbury,2016_San Francisco,2015_Haight Ashbury,2015_San Francisco,2014_Haight Ashbury,2014_San Francisco,2013_Haight Ashbury,2013_San Francisco,2012_Haight Ashbury,2012_San Francisco,2011_Haight Ashbury,2011_San Francisco,2010_Haight Ashbury,2010_San Francisco,2000_Haight Ashbury,2000_San Francisco
0,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,3491,156904,3695.0,158878.0,4177.0,164391.0,4278.0,177267.0,3807.0,179637.0,4860.0,194605.0,5873.0,196852.0,5262.0,201554.0,5456.0,206125.0,5487.0,208027.0,6030.0,219759.0,6153.0,217742.0,5868.0,213982.0,5811.0,212110.0,5851.0,209068.0,6195.0,209020.0
1,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,3491,156904,3695.0,158878.0,4177.0,142404.0,4278.0,155085.0,1805.0,133315.0,4860.0,146746.0,4880.0,152803.0,5262.0,131265.0,5126.0,139452.0,4394.0,146046.0,5917.0,103611.0,6037.0,106717.0,5803.0,108966.0,3973.0,114525.0,4211.0,119019.0,4528.0,147066.0
2,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,3491,156904,3695.0,158878.0,4177.0,164391.0,4278.0,177267.0,3807.0,179637.0,4860.0,194605.0,5873.0,196852.0,5262.0,201554.0,5456.0,206125.0,5487.0,195487.0,6030.0,219759.0,6153.0,217742.0,5868.0,213982.0,5811.0,212110.0,5851.0,203005.0,6195.0,193235.0
3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,3491,156904,3695.0,158878.0,4177.0,164391.0,4278.0,177267.0,3807.0,179637.0,4860.0,194605.0,5873.0,196852.0,5262.0,201554.0,5456.0,206125.0,5487.0,208027.0,6030.0,219759.0,6153.0,217742.0,5868.0,213982.0,5811.0,212110.0,5851.0,209068.0,6195.0,209020.0
4,Affordability,100 AMI Annual Income,200583.68093385213,140630.3486172417,200799.06343825665,140840.72978303747,200048.7824390244,136440.23367285798,184422.4924012158,126479.8932723461,98739.39679547596,117453.07472291742,172486.6717440975,113537.43350844154,104148.62914862914,104995.55809378768,143615.59139784946,96817.47583985272,130600.84541062804,88612.28084661327,119121.05751391464,81982.65550239234,114165.243381725,78773.52733781732,107374.022589053,75789.09138932911,103881.27853881278,73882.86576506091,95247.52475247523,73015.850789739,92345.50561797751,71436.31988152536,71000.0,55915.28958767848
5,Affordability,100 AMI Monthly Affordable Rent,16715.306744487676,11719.195718103474,16733.255286521387,11736.72748191979,16670.731869918698,11370.019472738166,15368.54103343465,10539.991106028841,8228.283066289663,9787.756226909785,14373.889312008125,9461.452792370128,8679.052429052428,8749.629841148973,11967.96594982079,8068.122986654394,10883.403784219003,7384.356737217772,9926.75479282622,6831.887958532695,9513.770281810417,6564.460611484777,8947.835215754416,6315.7576157774265,8656.773211567732,6156.905480421742,7937.2937293729365,6084.6542324782495,7695.458801498126,5953.02665679378,5916.666666666667,4659.607465639873
6,Affordability,30 AMI Annual Income,60175.10428015563,42189.10458517251,60239.71903147699,42252.21893491124,60014.634731707316,40932.0701018574,55326.747720364736,37943.96798170383,29621.819038642785,35235.922416875226,51746.00152322924,34061.23005253246,31244.588744588742,31498.6674281363,43084.67741935484,29045.242751955815,39180.25362318841,26583.68425398398,35736.31725417439,24594.7966507177,34249.5730145175,23632.058201345193,32212.2067767159,22736.727416798734,31164.383561643834,22164.859729518274,28574.25742574257,21904.755236921697,27703.65168539325,21430.895964457606,21300.0,16774.586876303543
7,Affordability,30 AMI Monthly Affordable Rent,5014.592023346303,3515.758715431042,5019.976585956416,3521.0182445759365,5001.21956097561,3411.00584182145,4610.562310030395,3161.9973318086522,2468.4849198868988,2936.3268680729357,4312.166793602437,2838.4358377110384,2603.7157287157283,2624.888952344692,3590.389784946237,2420.436895996318,3265.0211352657007,2215.3070211653317,2978.026437847866,2049.5663875598084,2854.131084543125,1969.3381834454328,2684.350564726325,1894.7272847332279,2597.0319634703196,1847.0716441265229,2381.188118811881,1825.3962697434747,2308.6376404494376,1785.9079970381338,1775.0,1397.882239691962
8,Affordability,50 AMI Annual Income,100291.84046692606,70315.17430862084,100399.53171912832,70420.36489151874,100024.3912195122,68220.11683642899,92211.2462006079,63239.94663617305,49369.69839773798,58726.53736145871,86243.33587204874,56768.71675422077,52074.31457431457,52497.77904689384,71807.79569892473,48408.73791992636,65300.42270531402,44306.140423306635,59560.52875695732,40991.32775119617,57082.6216908625,39386.76366890866,53687.0112945265,37894.54569466456,51940.63926940639,36941.432882530455,47623.76237623762,36507.9253948695,46172.75280898876,35718.15994076268,35500.0,27957.64479383924
9,Affordability,50 AMI Monthly Affordable Rent,8357.653372243838,5859.597859051737,8366.627643260694,5868.363740959895,8335.365934959349,5685.009736369083,7684.270516717325,5269.995553014421,4114.141533144832,4893.878113454893,7186.944656004062,4730.726396185064,4339.526214526214,4374.814920574487,5983.982974910395,4034.061493327197,5441.701892109501,3692.178368608886,4963.37739641311,3415.9439792663475,4756.885140905209,3282.2303057423883,4473.917607877208,3157.8788078887133,4328.386605783866,3078.452740210871,3968.6468646864682,3042.3271162391247,3847.729400749063,2976.51332839689,2958.3333333333335,2329.8037328199366
10,Affordability,80 AMI Annual Income,160466.94474708172,112504.27889379335,160639.25075060534,112672.58382642998,160039.02595121952,109152.1869382864,147537.99392097266,101183.91461787689,78991.51743638077,93962.45977833394,137989.337395278,90829.94680675323,83318.90331890332,83996.44647503016,114892.47311827958,77453.98067188218,104480.67632850244,70889.82467729061,95296.84601113171,65586.12440191388,91332.19470538001,63018.82187025386,85899.2180712424,60631.27311146329,83105.02283105023,59106.29261204873,76198.01980198019,58412.6806317912,73876.40449438202,57149.05590522029,56800.0,44732.23167014279
