,Category,Attribute,2000_Bayview - District 10,2010_Bayview - District 10,2011_Bayview - District 10,2012_Bayview - District 10,2013_Bayview - District 10,2014_Bayview - District 10,2015_Bayview - District 10,2016_Bayview - District 10,2017_Bayview - District 10,2018_Bayview - District 10,2019_Bayview - District 10,2020_Bayview - District 10,2021_Bayview - District 10,2022_Bayview - District 10,2023_Bayview - District 10,2024_Bayview - District 10
506,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,9873.0,11025.0,11466.0,11541.0,11589.0,11757.0,10870.0,10755.0,10595.0,23424.0,10823.0,15980.0,9492.0,9524.0,8534.0,8520
497,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,6877.0,6026.0,6883.0,6793.0,6657.0,6365.0,6597.0,6291.0,6082.0,15664.0,7714.0,12165.0,7521.0,7422.0,6488.0,7525
500,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,9396.0,8371.0,11191.0,11274.0,11278.0,11371.0,9440.0,9143.0,9521.0,23424.0,10823.0,15980.0,9492.0,9524.0,8534.0,8520
503,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,9873.0,11025.0,11466.0,11541.0,11589.0,11757.0,10870.0,10755.0,10595.0,23424.0,10823.0,15980.0,9492.0,9524.0,8534.0,8520
504,Affordability,100 AMI Annual Income,48899.37106918239,56890.20152883947,60556.65722379604,62778.54006586169,64443.85026737968,66930.43237250554,68877.39265390584,71832.77027027027,74960.5074198181,89191.34033747214,87425.44731610338,112247.77701778384,102142.65375854216,111303.12652662431,119940.92508798392,123213.30022075056
505,Affordability,100 AMI Monthly Affordable Rent,4074.9475890985323,4740.850127403289,5046.388101983003,5231.545005488474,5370.320855614974,5577.536031042128,5739.78272115882,5986.064189189189,6246.708951651508,7432.611694789345,7285.453943008615,9353.981418148653,8511.887813211846,9275.260543885359,9995.077090665327,10267.77501839588
495,Affordability,30 AMI Annual Income,14669.811320754716,17067.06045865184,18166.997167138812,18833.56201975851,19333.155080213903,20079.129711751662,20663.217796171753,21549.83108108108,22488.15222594543,26757.40210124164,26227.634194831015,33674.33310533515,30642.796127562648,33390.93795798729,35982.27752639518,36963.99006622517
496,Affordability,30 AMI Monthly Affordable Rent,1222.4842767295597,1422.2550382209865,1513.916430594901,1569.4635016465425,1611.096256684492,1673.2608093126385,1721.9348163476461,1795.8192567567567,1874.0126854954524,2229.7835084368035,2185.6361829025846,2806.1944254445957,2553.566343963554,2782.5781631656077,2998.523127199598,3080.332505518764
498,Affordability,50 AMI Annual Income,24449.685534591194,28445.100764419734,30278.32861189802,31389.270032930846,32221.92513368984,33465.21618625277,34438.69632695292,35916.38513513513,37480.25370990905,44595.67016873607,43712.72365805169,56123.88850889192,51071.32687927108,55651.56326331216,59970.46254399196,61606.65011037528
499,Affordability,50 AMI Monthly Affordable Rent,2037.4737945492661,2370.4250637016444,2523.1940509915016,2615.772502744237,2685.160427807487,2788.768015521064,2869.89136057941,2993.0320945945946,3123.354475825754,3716.3058473946726,3642.7269715043076,4676.990709074326,4255.943906605923,4637.630271942679,4997.5385453326635,5133.88750919794
501,Affordability,80 AMI Annual Income,39119.49685534591,45512.16122307158,48445.32577903684,50222.83205268936,51555.08021390375,53544.34589800444,55101.914123124676,57466.21621621621,59968.40593585448,71353.07226997771,69940.3578528827,89798.22161422708,81714.12300683373,89042.50122129946,95952.74007038714,98570.64017660046
502,Affordability,80 AMI Monthly Affordable Rent,3259.958071278826,3792.6801019226314,4037.1104815864032,4185.23600439078,4296.256684491979,4462.028824833703,4591.826176927057,4788.851351351351,4997.367161321206,5946.089355831476,5828.363154406892,7483.185134518923,6809.510250569478,7420.2084351082885,7996.061672532262,8214.220014716704
0,Age,"0-2 Years, Under 6 Years",0.4934806229626947,0.5100775193798449,0.5043908669966469,0.5046684601993986,0.5022647206844489,0.5081098973849718,0.4936688044729485,0.5122801457772144,0.5059834822181022,0.5023855804912529,0.4999135097733956,0.5359925788497217,0.5292246520874752,0.5328381548084441,0.5320754716981132,0.5200764818355641
1,Age,0-4 Years,0.0638781668889044,0.0683453237410072,0.0723149511809305,0.0730680741642982,0.0679874591421519,0.0688151007243694,0.0659254517186867,0.0674676288448743,0.0621839413849199,0.0437141399310653,0.0593101740045823,0.0439348393956498,0.0527647540373595,0.0531858220697003,0.0466905845514128,0.0458917573057266
2,Age,18-34 Years,0.2503895010176152,0.2471402188593952,0.257431953308242,0.257017187711463,0.2556200386898806,0.2526304658171628,0.2491083210305588,0.2506525410717027,0.2534143788541811,0.3008653275436568,0.2549260016100068,0.2773394940995786,0.2507008012701248,0.2499721248312003,0.2332754402200783,0.2356047700170357
3,Age,"3-5 Years, Under 6 Years",0.5065193770373053,0.489922480620155,0.495609133003353,0.4953315398006013,0.497735279315551,0.4918901026150281,0.5063311955270515,0.4877198542227856,0.4940165177818978,0.4976144195087471,0.5000864902266043,0.4640074211502783,0.4707753479125248,0.4671618451915559,0.4679245283018868,0.4799235181644359
4,Age,35-59 Years,0.3418625868481998,0.3629510184955484,0.3566655757377406,0.3576262011097577,0.3610032686278434,0.3566462221752234,0.3646281078114997,0.3583729975945545,0.3555367794494117,0.3530557204294357,0.3494086321134435,0.3481970570089654,0.3496812284488105,0.3488484458044774,0.3558778413052573,0.3573057266413314
5,Age,5-17 Years,0.1933328654642431,0.1604922958185176,0.1565073910434735,0.1517526052239816,0.1461677006203722,0.1457859673240628,0.1528984465841836,0.1514151184809867,0.1475339546262784,0.1080149531931731,0.1407269799987615,0.1013901103949803,0.1348763364838381,0.1335530309600208,0.1437355003105944,0.1436771065391167
6,Age,60 and older,0.1505368797810372,0.1610711430855315,0.1570801287296132,0.1605359317904993,0.1692215329197518,0.1761222439591815,0.1674396728550711,0.1720917140078816,0.1813309456852087,0.1943498589026688,0.1956282122732057,0.2291384991008256,0.211976879759867,0.2144405763346011,0.220420633612657,0.2175206394967894
7,Age,Under 18 Years,18325.0,16604.0,16775.0,16603.0,16039.0,16218.0,16727.0,17081.0,16603.0,16098.0,16124.0,15623.0,15101.0,15058.0,15008.0,14453.0
8,Age,Under 6 Years,5522.0,5805.0,6263.0,6319.0,5961.0,6042.0,6081.0,6311.0,5933.0,5659.0,5781.0,5390.0,5030.0,5116.0,4505.0,4184.0
507,Educational Attainment,College Degree or higher,0.2322483921432296,0.2838620239745576,0.2958028385427196,0.3133634113231653,0.3229013043228438,0.3382695195195195,0.3404041905044951,0.3428540399652476,0.3452943249911879,0.4893602738806471,0.3548135196156654,0.5807377661251514,0.3847009412506847,0.3899892624101759,0.4009916907820142,0.4155122209476749
508,Educational Attainment,High School or Less,0.5176864244741873,0.4759846693305064,0.4634669038858113,0.4479158348638505,0.4383559020129857,0.4249812312312312,0.4260903484657107,0.4149109470026064,0.4085477617201269,0.2902195072833456,0.4045699152902032,0.2360320594726449,0.3809990205680705,0.3791855951102668,0.3801424920884737,0.3629224388952616
509,Educational Attainment,Some College/Associate Degree,0.250065183382583,0.2401533066949359,0.240730257571469,0.2387207538129841,0.2387427936641704,0.2367492492492492,0.2335054610297942,0.2422350130321459,0.2461579132886852,0.2204202188360072,0.2406165650941314,0.1832301744022036,0.2343000381812447,0.2308251424795573,0.2188658171295121,0.2215653401570634
9,Employment,"6-17, Living with One Parent",4546.0,5012.0,5271.0,4849.0,4873.0,4975.0,4835.0,4902.0,5126.0,5006.0,4832.0,4537.0,4093.0,3726.0,3948.0,3837.0
10,Employment,"6-17, Living with One Parent, Parent Not in Labor Force",0.3556973163220414,0.2569832402234637,0.2574464048567634,0.2788203753351206,0.2333264929201723,0.2271356783919598,0.2570837642192347,0.2278661770705834,0.2268825595005852,0.2215341590091889,0.2230960264900662,0.2029975754904121,0.1602736379183972,0.190552871712292,0.1947821681864235,0.1686213187385978
11,Employment,"6-17, Living with One Parent, Parent in Labor Force",0.6443026836779586,0.7430167597765364,0.7425535951432366,0.7211796246648794,0.7666735070798276,0.7728643216080402,0.7429162357807653,0.7721338229294166,0.7731174404994148,0.7784658409908111,0.7769039735099338,0.7970024245095878,0.8397263620816028,0.809447128287708,0.8052178318135765,0.8313786812614021
12,Employment,"6-17, Living with Two Parents",6442.0,5052.0,4496.0,4788.0,4621.0,4590.0,5097.0,5274.0,4986.0,4801.0,4774.0,4838.0,4918.0,5260.0,5676.0,5520.0
13,Employment,"6-17, Living with Two Parents, One Parent in Labor Force",0.3030114871158025,0.25,0.2397686832740213,0.223266499582289,0.2215970569140878,0.2091503267973856,0.2111045713164606,0.2500948047023132,0.2653429602888086,0.2620287440116642,0.2953498114788437,0.2947498966515089,0.3230988206588044,0.3452471482889734,0.3424947145877378,0.272463768115942
14,Employment,"6-17, Living with Two Parents, Parents Not in Labor Force",0.1952809686432784,0.0120744259699129,0.0091192170818505,0.0227652464494569,0.0266176152347976,0.0276688453159041,0.029036688247989,0.0127038301099734,0.0056157240272763,0.0062486981878775,0.0067029744449099,0.0012401818933443,0.0010166734444896,0.003231939163498,0.0040521494009866,0.0108695652173913
15,Employment,"6-17, Living with Two Parents, Parents in Labor Force",0.501707544240919,0.7379255740300871,0.7511120996441281,0.753968253968254,0.7517853278511145,0.7631808278867103,0.7598587404355504,0.7372013651877133,0.729041315683915,0.7317225578004583,0.6979472140762464,0.7040099214551467,0.675884505896706,0.6515209125475285,0.6534531360112755,0.7166666666666667
