,Category,Attribute,Percent Of,2000_Bernal Heights,2010_Bernal Heights,2011_Bernal Heights,2012_Bernal Heights,2013_Bernal Heights,2014_Bernal Heights,2015_Bernal Heights,2016_Bernal Heights,2017_Bernal Heights,2018_Bernal Heights,2019_Bernal Heights,2020_Bernal Heights,2021_Bernal Heights,2022_Bernal Heights,2023_Bernal Heights,2024_Bernal Heights
542,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,None,4108.0,4035.0,4134.0,4136.0,4170.0,4155.0,3679.0,3542.0,3428.0,5004.0,3242.0,3978.0,2976.0,2563.0,2424.0,2187
533,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,None,3396.0,3123.0,2912.0,2764.0,2835.0,2736.0,2470.0,2801.0,3112.0,3804.0,2865.0,2307.0,2976.0,2563.0,2424.0,2187
536,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,None,4108.0,4035.0,4134.0,4136.0,4170.0,4155.0,3679.0,3542.0,3428.0,5004.0,3242.0,3978.0,2976.0,2563.0,2424.0,2187
539,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,None,4108.0,4035.0,4134.0,4136.0,4170.0,4155.0,3679.0,3542.0,3428.0,5004.0,3242.0,3978.0,2976.0,2563.0,2424.0,2187
540,Affordability,100 AMI Annual Income,None,62796.875,85774.25373134328,87013.23987538941,91161.0878661088,90738.34196891192,92545.63894523328,98285.80097087378,106914.0625,123410.5180533752,116062.09150326798,139519.0023752969,92233.72781065087,153638.25363825363,158532.65869365225,170779.52029520296,180779.28870292887
541,Affordability,100 AMI Monthly Affordable Rent,None,5233.072916666667,7147.854477611941,7251.103322949118,7596.757322175734,7561.5284974093265,7712.13657876944,8190.483414239482,8909.505208333334,10284.209837781267,9671.840958605664,11626.583531274742,7686.1439842209065,12803.187803187802,13211.054891137688,14231.626691266914,15064.940725244072
531,Affordability,30 AMI Annual Income,None,18839.0625,25732.276119402984,26103.971962616823,27348.32635983264,27221.502590673575,27763.691683569985,29485.740291262133,32074.21875,37023.15541601256,34818.62745098039,41855.70071258907,27670.118343195263,46091.47609147609,47559.79760809567,51233.85608856089,54233.78661087866
532,Affordability,30 AMI Monthly Affordable Rent,None,1569.921875,2144.356343283582,2175.330996884735,2279.0271966527202,2268.458549222798,2313.640973630832,2457.1450242718442,2672.8515625,3085.26295133438,2901.552287581699,3487.9750593824224,2305.843195266272,3840.956340956341,3963.316467341306,4269.488007380074,4519.4822175732215
534,Affordability,50 AMI Annual Income,None,31398.4375,42887.12686567164,43506.619937694704,45580.5439330544,45369.17098445596,46272.81947261664,49142.90048543689,53457.03125,61705.2590266876,58031.04575163399,69759.50118764845,46116.86390532544,76819.12681912682,79266.32934682613,85389.76014760148,90389.64435146443
535,Affordability,50 AMI Monthly Affordable Rent,None,2616.5364583333335,3573.9272388059703,3625.551661474559,3798.378661087867,3780.7642487046633,3856.06828938472,4095.241707119741,4454.752604166667,5142.104918890634,4835.920479302832,5813.291765637371,3843.0719921104533,6401.593901593901,6605.527445568844,7115.813345633457,7532.470362622036
537,Affordability,80 AMI Annual Income,None,50237.5,68619.40298507463,69610.59190031153,72928.87029288705,72590.67357512953,74036.51115618662,78628.64077669903,85531.25,98728.41444270016,92849.67320261439,111615.20190023753,73786.9822485207,122910.60291060292,126826.12695492181,136623.61623616237,144623.4309623431
538,Affordability,80 AMI Monthly Affordable Rent,None,4186.458333333333,5718.2835820895525,5800.882658359294,6077.405857740588,6049.222797927461,6169.709263015552,6552.386731391586,7127.604166666667,8227.367870225013,7737.472766884533,9301.266825019795,6148.915187376725,10242.550242550244,10568.843912910152,11385.30135301353,12051.952580195257
0,Age,"0-2 Years, Under 6 Years",Population Under 6 Years,0.5632398753894081,0.5183879093198992,0.5386266094420601,0.5696746470227133,0.5779294653014789,0.5634792004321988,0.531324725011956,0.5234146341463415,0.5280656303972366,0.5073009891662741,0.4521091811414392,0.484228473998295,0.4899418864550737,0.495040151157298,0.4811229428848015,0.5211062590975255
