,Category,Attribute,2000_Excelsior,2010_Excelsior,2011_Excelsior,2012_Excelsior,2013_Excelsior,2014_Excelsior,2015_Excelsior,2016_Excelsior,2017_Excelsior,2018_Excelsior,2019_Excelsior,2020_Excelsior,2021_Excelsior,2022_Excelsior,2023_Excelsior,2024_Excelsior
11,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,2740.0,3126.0,3365.0,3419.0,3802.0,4045.0,3909.0,3960.0,3860.0,7448.0,3242.0,4095.0,2895.0,2741.0,2687.0,2722
2,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,1944.0,1729.0,1806.0,1840.0,1992.0,2039.0,1906.0,1798.0,1783.0,4950.0,2075.0,4095.0,2361.0,2082.0,1969.0,2026
5,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,2604.0,3001.0,3188.0,3248.0,3646.0,3874.0,3564.0,3824.0,3672.0,7448.0,3242.0,4095.0,2895.0,2741.0,2687.0,2722
8,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,2740.0,3126.0,3365.0,3419.0,3802.0,4045.0,3909.0,3960.0,3860.0,7448.0,3242.0,4095.0,2895.0,2741.0,2687.0,2722
9,Affordability,100 AMI Annual Income,55926.124197002144,70455.53618134263,69153.59778597786,69231.27753303965,65661.15702479339,65189.79057591623,67659.03307888041,72472.67759562841,75069.53028430161,91778.6214953271,90211.31137352392,197931.5831344471,101411.4541023558,106935.1763584366,112038.01478352692,118141.592920354
10,Affordability,100 AMI Monthly Affordable Rent,4660.510349750179,5871.294681778552,5762.799815498155,5769.273127753305,5471.763085399449,5432.48254799302,5638.252756573368,6039.389799635701,6255.794190358468,7648.2184579439245,7517.609281126993,16494.29859453726,8450.95450852965,8911.264696536384,9336.501231960576,9845.132743362834
0,Affordability,30 AMI Annual Income,16777.83725910064,21136.660854402788,20746.079335793358,20769.383259911894,19698.347107438014,19556.93717277487,20297.709923664122,21741.803278688523,22520.85908529048,27533.58644859813,27063.393412057176,59379.47494033413,30423.43623070674,32080.55290753098,33611.40443505807,35442.4778761062
1,Affordability,30 AMI Monthly Affordable Rent,1398.1531049250534,1761.3884045335656,1728.8399446494466,1730.7819383259912,1641.5289256198346,1629.7447643979058,1691.4758269720103,1811.8169398907103,1876.7382571075402,2294.4655373831774,2255.282784338098,4948.2895783611775,2535.286352558895,2673.379408960915,2800.9503695881726,2953.53982300885
3,Affordability,50 AMI Annual Income,27963.062098501072,35227.768090671314,34576.79889298893,34615.63876651983,32830.57851239669,32594.895287958116,33829.51653944021,36236.338797814205,37534.765142150805,45889.31074766355,45105.65568676196,98965.79156722355,50705.7270511779,53467.5881792183,56019.00739176346,59070.796460177
4,Affordability,50 AMI Monthly Affordable Rent,2330.2551748750893,2935.647340889276,2881.3999077490776,2884.6365638766524,2735.8815426997244,2716.24127399651,2819.126378286684,3019.6948998178505,3127.897095179234,3824.1092289719622,3758.8046405634964,8247.14929726863,4225.477254264825,4455.632348268192,4668.250615980288,4922.566371681417
6,Affordability,80 AMI Annual Income,44740.89935760172,56364.428945074105,55322.8782287823,55385.022026431725,52528.925619834714,52151.832460732985,54127.226463104336,57978.14207650273,60055.624227441294,73422.89719626168,72169.04909881913,158345.2665075577,81129.16328188464,85548.14108674928,89630.41182682154,94513.27433628321
